@relation Dataset_LbPAP
@attribute L numeric
@attribute b numeric
@attribute PAP numeric
@attribute Class {'0','14','7'}
@data
54.7,12.2,25.75,'0'
50.8,12,22.08,'0'
49.4,10.9,22.05,'0'
47.5,12.7,21.65,'0'
53.7,14.1,27.43,'0'
49,13.2,25.14,'0'
51.8,12.7,25.85,'0'
53.1,13.3,27.5,'0'
47,10.6,26.29,'0'
47.8,11.8,20.85,'0'
50.4,13,24.64,'0'
52.9,14,23.32,'0'
48,11,20.61,'0'
51.5,11.9,25.14,'0'
52.6,13.9,24.9,'0'
51.2,12.2,25.23,'0'
53.4,14.7,24.38,'0'
51.8,12.1,29.31,'0'
53,12.5,24.99,'0'
52.2,13.2,21.75,'0'
54.1,14.8,24.04,'0'
54.3,14.1,29.08,'0'
48.3,12.7,24.45,'0'
55.1,14.9,23.36,'0'
47.9,12.7,22.66,'0'
50.3,11.5,27.17,'0'
50.9,11.4,22.93,'0'
52.7,13,26.57,'0'
48.7,11.9,21.1,'0'
51.4,11.6,26.23,'0'
52.6,13,26.46,'0'
50.2,12.3,26.69,'0'
50.9,13.3,21.41,'0'
53.9,13.9,21.53,'0'
50.7,12.2,27.69,'0'
54.5,13.5,27.02,'0'
50.1,14.4,25.3,'0'
52.2,13.5,29.47,'0'
54.3,13.5,28.87,'0'
53.4,14.6,25.93,'0'
53.2,13.9,26.37,'0'
54.1,14.9,23.08,'0'
52.5,14.2,25.56,'0'
51.6,11.9,24.24,'0'
50.8,12.7,20.64,'0'
53.2,13.9,26.37,'0'
50.2,12.3,26.69,'0'
54.1,14.8,24.04,'0'
51.6,11.9,24.24,'0'
50.9,13.3,21.41,'0'
49,13.2,25.14,'0'
48,11,20.61,'0'
51.4,11.6,26.23,'0'
53.7,14.1,27.43,'0'
53,12.5,24.99,'0'
53.9,13.9,21.53,'0'
48.3,12.7,24.45,'0'
52.9,14,23.32,'0'
50.4,13,24.64,'0'
53.4,14.6,25.93,'0'
54.1,14.9,23.08,'0'
50.3,11.5,27.17,'0'
51.8,12.1,29.31,'0'
52.6,13,26.46,'0'
54.3,14.1,29.08,'0'
47,10.6,26.29,'0'
47.8,11.8,20.85,'0'
54.7,12.2,25.75,'0'
52.2,13.5,29.47,'0'
47.9,12.7,22.66,'0'
55.1,14.9,23.36,'0'
51.5,11.9,25.14,'0'
48.7,11.9,21.1,'0'
49.4,10.9,22.05,'0'
52.7,13,26.57,'0'
54.3,13.5,28.87,'0'
53.4,14.7,24.38,'0'
54.5,13.5,27.02,'0'
50.7,12.2,27.69,'0'
49.7,11.7,28.14,'7'
51.7,12.5,27.21,'7'
51,12.8,29.48,'7'
51.9,11.1,29.55,'7'
55.3,14.2,25.23,'7'
51,12.4,27.82,'7'
52.1,13.1,28.01,'7'
52.9,12.9,26.45,'7'
47.2,11.2,27.14,'7'
48.3,10.8,31.07,'7'
49.2,11.9,25.2,'7'
50.2,11.8,29.83,'7'
52.1,12.5,27.63,'7'
52.4,15.6,27.79,'7'
50.7,12.5,27.08,'7'
51.3,12.1,30.85,'7'
47.6,11.1,30.26,'7'
47.1,10,24.29,'7'
53,13.9,29.69,'7'
52.7,11.9,27.91,'7'
53.9,13.9,28.72,'7'
48.7,11.2,22.57,'7'
48.8,12.1,26.79,'7'
53.7,14.5,26.03,'7'
52.7,12.7,23.86,'7'
53.8,13.1,27.14,'7'
52.3,12.2,25.89,'7'
50.9,10.5,26.59,'7'
51.5,13.6,26.86,'7'
48.5,11.6,27.84,'7'
51.2,14.8,29.43,'7'
52.5,12.6,29.8,'7'
53.6,14.8,22.54,'7'
51.8,13.1,29.11,'7'
49,10.5,24.55,'7'
53.2,12.7,25.11,'7'
55.7,14.2,24.91,'7'
52.8,13.8,27.21,'7'
51,12.1,29.56,'7'
53.9,13.3,27.67,'7'
51.2,13.2,26.28,'7'
55.1,14.6,25.79,'7'
52.1,13.4,28.89,'7'
49.9,11.9,28.57,'7'
51.5,13.2,26.47,'7'
52.8,13.8,27.21,'7'
51.5,13.2,26.47,'7'
52.5,12.6,29.8,'7'
53.8,13.1,27.14,'7'
51,12.8,29.48,'7'
51.3,12.1,30.85,'7'
51.2,13.2,26.28,'7'
47.1,10,24.29,'7'
49.9,11.9,28.57,'7'
47.2,11.2,27.14,'7'
53.9,13.9,28.72,'7'
55.7,14.2,24.91,'7'
52.9,12.9,26.45,'7'
52.1,12.5,27.63,'7'
48.5,11.6,27.84,'7'
50.2,11.8,29.83,'7'
55.1,14.6,25.79,'7'
52.1,13.1,28.01,'7'
48.7,11.2,22.57,'7'
49,10.5,24.55,'7'
55.3,14.2,25.23,'7'
49.7,11.7,28.14,'7'
49.2,11.9,25.2,'7'
52.7,11.9,27.91,'7'
51.2,14.8,29.43,'7'
53.6,14.8,22.54,'7'
52.3,12.2,25.89,'7'
48.3,10.8,31.07,'7'
47.6,11.1,30.26,'7'
52.1,13.4,28.89,'7'
51,12.4,27.82,'7'
51.9,11.1,29.55,'7'
50.7,12.5,27.08,'7'
54.4,12.6,33.47,'14'
53.2,12.7,33.31,'14'
52.8,16.1,33.04,'14'
51.3,14.7,29.02,'14'
54.5,13.1,29.99,'14'
54.4,14.5,22.94,'14'
54,12.7,22.78,'14'
55.9,16.4,28.49,'14'
51.8,13.2,24.73,'14'
55.3,12.2,24.95,'14'
55.9,12.2,31.6,'14'
55.1,13.8,25.41,'14'
53.4,13.9,23.58,'14'
54.2,13.5,22.69,'14'
52.3,17.3,27.86,'14'
