@relation Dataset_PAPph
@attribute PAP numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
25.75,5.77,'0'
22.08,5.58,'0'
22.05,5.73,'0'
21.65,5.54,'0'
27.43,5.42,'0'
25.14,5.6,'0'
25.85,5.48,'0'
27.5,5.55,'0'
26.29,5.67,'0'
20.85,5.64,'0'
24.64,5.55,'0'
23.32,5.66,'0'
20.61,5.41,'0'
25.14,5.48,'0'
24.9,5.57,'0'
25.23,5.44,'0'
24.38,5.56,'0'
29.31,5.58,'0'
24.99,5.62,'0'
21.75,5.45,'0'
24.04,5.64,'0'
29.08,5.54,'0'
24.45,5.6,'0'
23.36,5.62,'0'
22.66,5.68,'0'
27.17,5.52,'0'
22.93,5.58,'0'
26.57,5.4,'0'
21.1,5.61,'0'
26.23,5.48,'0'
26.46,5.54,'0'
26.69,5.66,'0'
21.41,5.63,'0'
21.53,5.64,'0'
27.69,5.75,'0'
27.02,5.57,'0'
25.3,5.48,'0'
29.47,5.5,'0'
28.87,5.59,'0'
25.93,5.55,'0'
26.37,5.64,'0'
23.08,5.68,'0'
25.56,5.35,'0'
24.24,5.66,'0'
20.64,5.41,'0'
26.37,5.64,'0'
26.69,5.66,'0'
24.04,5.64,'0'
24.24,5.66,'0'
21.41,5.63,'0'
25.14,5.6,'0'
20.61,5.41,'0'
26.23,5.48,'0'
27.43,5.42,'0'
24.99,5.62,'0'
21.53,5.64,'0'
24.45,5.6,'0'
23.32,5.66,'0'
24.64,5.55,'0'
25.93,5.55,'0'
23.08,5.68,'0'
27.17,5.52,'0'
29.31,5.58,'0'
26.46,5.54,'0'
29.08,5.54,'0'
26.29,5.67,'0'
20.85,5.64,'0'
25.75,5.77,'0'
29.47,5.5,'0'
22.66,5.68,'0'
23.36,5.62,'0'
25.14,5.48,'0'
21.1,5.61,'0'
22.05,5.73,'0'
26.57,5.4,'0'
28.87,5.59,'0'
24.38,5.56,'0'
27.02,5.57,'0'
27.69,5.75,'0'
28.14,5.95,'7'
27.21,5.82,'7'
29.48,5.88,'7'
29.55,5.78,'7'
25.23,5.75,'7'
27.82,5.89,'7'
28.01,5.75,'7'
26.45,5.82,'7'
27.14,5.86,'7'
31.07,5.88,'7'
25.2,5.72,'7'
29.83,5.88,'7'
27.63,5.79,'7'
27.79,5.75,'7'
27.08,5.71,'7'
30.85,5.75,'7'
30.26,5.9,'7'
24.29,5.85,'7'
29.69,5.77,'7'
27.91,5.82,'7'
28.72,5.63,'7'
22.57,5.86,'7'
26.79,5.77,'7'
26.03,5.8,'7'
23.86,5.79,'7'
27.14,5.74,'7'
25.89,5.79,'7'
26.59,5.84,'7'
26.86,5.82,'7'
27.84,5.84,'7'
29.43,5.71,'7'
29.8,5.87,'7'
22.54,5.73,'7'
29.11,5.66,'7'
24.55,5.9,'7'
25.11,5.86,'7'
24.91,5.69,'7'
27.21,5.84,'7'
29.56,5.6,'7'
27.67,5.69,'7'
26.28,5.79,'7'
25.79,5.75,'7'
28.89,5.73,'7'
28.57,5.77,'7'
26.47,5.61,'7'
27.21,5.84,'7'
26.47,5.61,'7'
29.8,5.87,'7'
27.14,5.74,'7'
29.48,5.88,'7'
30.85,5.75,'7'
26.28,5.79,'7'
24.29,5.85,'7'
28.57,5.77,'7'
27.14,5.86,'7'
28.72,5.63,'7'
24.91,5.69,'7'
26.45,5.82,'7'
27.63,5.79,'7'
27.84,5.84,'7'
29.83,5.88,'7'
25.79,5.75,'7'
28.01,5.75,'7'
22.57,5.86,'7'
24.55,5.9,'7'
25.23,5.75,'7'
28.14,5.95,'7'
25.2,5.72,'7'
27.91,5.82,'7'
29.43,5.71,'7'
22.54,5.73,'7'
25.89,5.79,'7'
31.07,5.88,'7'
30.26,5.9,'7'
28.89,5.73,'7'
27.82,5.89,'7'
29.55,5.78,'7'
27.08,5.71,'7'
33.47,5.8,'14'
33.31,5.54,'14'
33.04,5.75,'14'
29.02,5.74,'14'
29.99,5.7,'14'
22.94,5.63,'14'
22.78,5.8,'14'
28.49,5.72,'14'
24.73,5.96,'14'
24.95,5.98,'14'
31.6,5.75,'14'
25.41,5.76,'14'
23.58,5.7,'14'
22.69,5.88,'14'
27.86,5.7,'14'
27.24,5.7,'14'
31.26,5.7,'14'
26.48,5.98,'14'
30.4,5.8,'14'
21.07,6.02,'14'
20.79,5.58,'14'
28.22,6.01,'14'
27.17,5.77,'14'
28.43,5.71,'14'
26.36,5.68,'14'
28.22,5.86,'14'
29.43,5.83,'14'
29.28,5.7,'14'
27.53,5.9,'14'
25.9,5.84,'14'
29.42,5.82,'14'
24.7,5.9,'14'
28,5.89,'14'
24.42,5.77,'14'
34.52,5.53,'14'
24.92,5.63,'14'
30.37,5.61,'14'
31.57,5.67,'14'
28.75,5.69,'14'
26.45,5.8,'14'
21.93,5.83,'14'
32.73,5.7,'14'
24.9,5.84,'14'
20.02,5.87,'14'
32.41,5.68,'14'
29.42,5.82,'14'
30.1,5.62,'14'
30.14,5.81,'14'
32.84,5.59,'14'
30.39,5.88,'14'
26.11,5.8,'14'
28,5.89,'14'
29.42,5.82,'14'
25.9,5.84,'14'
21.93,5.83,'14'
20.02,5.87,'14'
26.45,5.8,'14'
24.7,5.9,'14'
28.75,5.69,'14'
24.42,5.77,'14'
27.86,5.7,'14'
20.79,5.58,'14'
26.48,5.98,'14'
30.37,5.61,'14'
29.99,5.7,'14'
24.9,5.84,'14'
28.49,5.72,'14'
27.24,5.7,'14'
21.07,6.02,'14'
30.1,5.62,'14'
34.52,5.53,'14'
33.31,5.54,'14'
33.04,5.75,'14'
29.02,5.74,'14'
32.73,5.7,'14'
23.58,5.7,'14'
24.92,5.63,'14'
31.6,5.75,'14'
28.22,5.86,'14'
22.69,5.88,'14'
29.42,5.82,'14'
32.84,5.59,'14'
28.43,5.71,'14'
32.41,5.68,'14'
26.36,5.68,'14'
30.4,5.8,'14'
24.73,5.96,'14'
33.47,5.8,'14'
28.22,6.01,'14'
30.14,5.81,'14'
30.39,5.88,'14'
27.53,5.9,'14'
22.94,5.63,'14'
