@relation Dataset_aPAPph
@attribute a numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
2.8,25.75,5.77,'0'
4.2,22.08,5.58,'0'
2.7,22.05,5.73,'0'
6.7,21.65,5.54,'0'
5.1,27.43,5.42,'0'
5.6,25.14,5.6,'0'
5.1,25.85,5.48,'0'
5,27.5,5.55,'0'
3.7,26.29,5.67,'0'
4.6,20.85,5.64,'0'
4.7,24.64,5.55,'0'
6.4,23.32,5.66,'0'
4.4,20.61,5.41,'0'
3.3,25.14,5.48,'0'
5.6,24.9,5.57,'0'
5.4,25.23,5.44,'0'
6,24.38,5.56,'0'
3.4,29.31,5.58,'0'
3.8,24.99,5.62,'0'
4.7,21.75,5.45,'0'
5.6,24.04,5.64,'0'
5.5,29.08,5.54,'0'
6.1,24.45,5.6,'0'
4.7,23.36,5.62,'0'
5.9,22.66,5.68,'0'
3.2,27.17,5.52,'0'
3.3,22.93,5.58,'0'
4.2,26.57,5.4,'0'
4.7,21.1,5.61,'0'
3.1,26.23,5.48,'0'
4.8,26.46,5.54,'0'
4.6,26.69,5.66,'0'
5.6,21.41,5.63,'0'
4.9,21.53,5.64,'0'
4.1,27.69,5.75,'0'
3.9,27.02,5.57,'0'
5.9,25.3,5.48,'0'
4.1,29.47,5.5,'0'
3.6,28.87,5.59,'0'
5.4,25.93,5.55,'0'
5.1,26.37,5.64,'0'
4,23.08,5.68,'0'
5.4,25.56,5.35,'0'
3.7,24.24,5.66,'0'
5.6,20.64,5.41,'0'
5.1,26.37,5.64,'0'
4.6,26.69,5.66,'0'
5.6,24.04,5.64,'0'
3.7,24.24,5.66,'0'
5.6,21.41,5.63,'0'
5.6,25.14,5.6,'0'
4.4,20.61,5.41,'0'
3.1,26.23,5.48,'0'
5.1,27.43,5.42,'0'
3.8,24.99,5.62,'0'
4.9,21.53,5.64,'0'
6.1,24.45,5.6,'0'
6.4,23.32,5.66,'0'
4.7,24.64,5.55,'0'
5.4,25.93,5.55,'0'
4,23.08,5.68,'0'
3.2,27.17,5.52,'0'
3.4,29.31,5.58,'0'
4.8,26.46,5.54,'0'
5.5,29.08,5.54,'0'
3.7,26.29,5.67,'0'
4.6,20.85,5.64,'0'
2.8,25.75,5.77,'0'
4.1,29.47,5.5,'0'
5.9,22.66,5.68,'0'
4.7,23.36,5.62,'0'
3.3,25.14,5.48,'0'
4.7,21.1,5.61,'0'
2.7,22.05,5.73,'0'
4.2,26.57,5.4,'0'
3.6,28.87,5.59,'0'
6,24.38,5.56,'0'
3.9,27.02,5.57,'0'
4.1,27.69,5.75,'0'
5.4,28.14,5.95,'7'
5,27.21,5.82,'7'
5.2,29.48,5.88,'7'
3.9,29.55,5.78,'7'
5,25.23,5.75,'7'
5.3,27.82,5.89,'7'
4.3,28.01,5.75,'7'
4.8,26.45,5.82,'7'
5.8,27.14,5.86,'7'
7.3,31.07,5.88,'7'
5.8,25.2,5.72,'7'
4.7,29.83,5.88,'7'
5.8,27.63,5.79,'7'
7.2,27.79,5.75,'7'
5.5,27.08,5.71,'7'
4.3,30.85,5.75,'7'
4.7,30.26,5.9,'7'
4.5,24.29,5.85,'7'
4.6,29.69,5.77,'7'
4.7,27.91,5.82,'7'
4.2,28.72,5.63,'7'
4.4,22.57,5.86,'7'
6,26.79,5.77,'7'
6.6,26.03,5.8,'7'
4.5,23.86,5.79,'7'
4.2,27.14,5.74,'7'
4.6,25.89,5.79,'7'
3.5,26.59,5.84,'7'
6.6,26.86,5.82,'7'
7.1,27.84,5.84,'7'
6.4,29.43,5.71,'7'
4.2,29.8,5.87,'7'
5.8,22.54,5.73,'7'
5.9,29.11,5.66,'7'
6,24.55,5.9,'7'
4.6,25.11,5.86,'7'
5.9,24.91,5.69,'7'
5.1,27.21,5.84,'7'
4.4,29.56,5.6,'7'
4.5,27.67,5.69,'7'
7.1,26.28,5.79,'7'
5.9,25.79,5.75,'7'
4.9,28.89,5.73,'7'
5.4,28.57,5.77,'7'
5.9,26.47,5.61,'7'
5.1,27.21,5.84,'7'
5.9,26.47,5.61,'7'
4.2,29.8,5.87,'7'
4.2,27.14,5.74,'7'
5.2,29.48,5.88,'7'
4.3,30.85,5.75,'7'
7.1,26.28,5.79,'7'
4.5,24.29,5.85,'7'
5.4,28.57,5.77,'7'
5.8,27.14,5.86,'7'
4.2,28.72,5.63,'7'
5.9,24.91,5.69,'7'
4.8,26.45,5.82,'7'
5.8,27.63,5.79,'7'
7.1,27.84,5.84,'7'
4.7,29.83,5.88,'7'
5.9,25.79,5.75,'7'
4.3,28.01,5.75,'7'
4.4,22.57,5.86,'7'
6,24.55,5.9,'7'
5,25.23,5.75,'7'
5.4,28.14,5.95,'7'
5.8,25.2,5.72,'7'
4.7,27.91,5.82,'7'
6.4,29.43,5.71,'7'
5.8,22.54,5.73,'7'
4.6,25.89,5.79,'7'
7.3,31.07,5.88,'7'
4.7,30.26,5.9,'7'
4.9,28.89,5.73,'7'
5.3,27.82,5.89,'7'
3.9,29.55,5.78,'7'
5.5,27.08,5.71,'7'
4.5,33.47,5.8,'14'
5.5,33.31,5.54,'14'
5.5,33.04,5.75,'14'
5.3,29.02,5.74,'14'
6.8,29.99,5.7,'14'
4.7,22.94,5.63,'14'
4.2,22.78,5.8,'14'
5.8,28.49,5.72,'14'
6.8,24.73,5.96,'14'
3.5,24.95,5.98,'14'
4.1,31.6,5.75,'14'
5.8,25.41,5.76,'14'
5.9,23.58,5.7,'14'
6.7,22.69,5.88,'14'
8.8,27.86,5.7,'14'
6.3,27.24,5.7,'14'
7.6,31.26,5.7,'14'
4.1,26.48,5.98,'14'
8.4,30.4,5.8,'14'
4.6,21.07,6.02,'14'
4.6,20.79,5.58,'14'
4.9,28.22,6.01,'14'
5.5,27.17,5.77,'14'
6.6,28.43,5.71,'14'
4.2,26.36,5.68,'14'
4.8,28.22,5.86,'14'
6.8,29.43,5.83,'14'
5.2,29.28,5.7,'14'
3.9,27.53,5.9,'14'
5.3,25.9,5.84,'14'
4.5,29.42,5.82,'14'
6.3,24.7,5.9,'14'
3.8,28,5.89,'14'
6.7,24.42,5.77,'14'
6.8,34.52,5.53,'14'
7.8,24.92,5.63,'14'
8.3,30.37,5.61,'14'
5,31.57,5.67,'14'
4.4,28.75,5.69,'14'
5.7,26.45,5.8,'14'
6.1,21.93,5.83,'14'
5,32.73,5.7,'14'
7.7,24.9,5.84,'14'
4.3,20.02,5.87,'14'
6.1,32.41,5.68,'14'
5.7,29.42,5.82,'14'
