@relation Dataset_aTBARS
@attribute a numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
2.8,0.109,'0'
4.2,0.222,'0'
2.7,0.232,'0'
6.7,0.249,'0'
5.1,0.284,'0'
5.6,0.287,'0'
5.1,0.288,'0'
5,0.314,'0'
3.7,0.324,'0'
4.6,0.332,'0'
4.7,0.334,'0'
6.4,0.337,'0'
4.4,0.338,'0'
3.3,0.35,'0'
5.6,0.373,'0'
5.4,0.384,'0'
6,0.386,'0'
3.4,0.411,'0'
3.8,0.42,'0'
4.7,0.422,'0'
5.6,0.43,'0'
5.5,0.439,'0'
6.1,0.441,'0'
4.7,0.444,'0'
5.9,0.456,'0'
3.2,0.465,'0'
3.3,0.468,'0'
4.2,0.469,'0'
4.7,0.482,'0'
3.1,0.499,'0'
4.8,0.505,'0'
4.6,0.53,'0'
5.6,0.548,'0'
4.9,0.549,'0'
4.1,0.568,'0'
3.9,0.579,'0'
5.9,0.589,'0'
4.1,0.621,'0'
3.6,0.646,'0'
5.4,0.663,'0'
5.1,0.677,'0'
4,0.691,'0'
5.4,0.704,'0'
3.7,0.721,'0'
5.6,1.136,'0'
5.1,0.677,'0'
4.6,0.53,'0'
5.6,0.43,'0'
3.7,0.721,'0'
5.6,0.548,'0'
5.6,0.287,'0'
4.4,0.338,'0'
3.1,0.499,'0'
5.1,0.284,'0'
3.8,0.42,'0'
4.9,0.549,'0'
6.1,0.441,'0'
6.4,0.337,'0'
4.7,0.334,'0'
5.4,0.663,'0'
4,0.691,'0'
3.2,0.465,'0'
3.4,0.411,'0'
4.8,0.505,'0'
5.5,0.439,'0'
3.7,0.324,'0'
4.6,0.332,'0'
2.8,0.109,'0'
4.1,0.621,'0'
5.9,0.456,'0'
4.7,0.444,'0'
3.3,0.35,'0'
4.7,0.482,'0'
2.7,0.232,'0'
4.2,0.469,'0'
3.6,0.646,'0'
6,0.386,'0'
3.9,0.579,'0'
4.1,0.568,'0'
5.4,0.276,'7'
5,0.284,'7'
5.2,0.306,'7'
3.9,0.308,'7'
5,0.316,'7'
5.3,0.321,'7'
4.3,0.328,'7'
4.8,0.331,'7'
5.8,0.331,'7'
7.3,0.331,'7'
5.8,0.336,'7'
4.7,0.336,'7'
5.8,0.359,'7'
7.2,0.361,'7'
5.5,0.38,'7'
4.3,0.381,'7'
4.7,0.384,'7'
4.5,0.385,'7'
4.6,0.398,'7'
4.7,0.4,'7'
4.2,0.407,'7'
4.4,0.415,'7'
6,0.416,'7'
6.6,0.416,'7'
4.5,0.419,'7'
4.2,0.427,'7'
4.6,0.431,'7'
3.5,0.439,'7'
6.6,0.44,'7'
7.1,0.445,'7'
6.4,0.478,'7'
4.2,0.486,'7'
5.8,0.495,'7'
5.9,0.496,'7'
6,0.516,'7'
4.6,0.525,'7'
5.9,0.534,'7'
5.1,0.536,'7'
4.4,0.546,'7'
4.5,0.584,'7'
7.1,0.592,'7'
5.9,0.623,'7'
4.9,0.628,'7'
5.4,0.645,'7'
5.9,0.691,'7'
5.1,0.536,'7'
5.9,0.691,'7'
4.2,0.486,'7'
4.2,0.427,'7'
5.2,0.306,'7'
4.3,0.381,'7'
7.1,0.592,'7'
4.5,0.385,'7'
5.4,0.645,'7'
5.8,0.331,'7'
4.2,0.407,'7'
5.9,0.534,'7'
4.8,0.331,'7'
5.8,0.359,'7'
7.1,0.445,'7'
4.7,0.336,'7'
5.9,0.623,'7'
4.3,0.328,'7'
4.4,0.415,'7'
6,0.516,'7'
5,0.316,'7'
5.4,0.276,'7'
5.8,0.336,'7'
4.7,0.4,'7'
6.4,0.478,'7'
5.8,0.495,'7'
4.6,0.431,'7'
7.3,0.331,'7'
4.7,0.384,'7'
4.9,0.628,'7'
5.3,0.321,'7'
3.9,0.308,'7'
5.5,0.38,'7'
4.5,0.277,'14'
5.5,0.32,'14'
5.5,0.32,'14'
5.3,0.333,'14'
6.8,0.338,'14'
4.7,0.342,'14'
4.2,0.367,'14'
5.8,0.373,'14'
6.8,0.38,'14'
3.5,0.381,'14'
4.1,0.387,'14'
5.8,0.388,'14'
5.9,0.393,'14'
6.7,0.396,'14'
8.8,0.398,'14'
6.3,0.402,'14'
7.6,0.404,'14'
4.1,0.407,'14'
8.4,0.408,'14'
4.6,0.411,'14'
4.6,0.412,'14'
4.9,0.418,'14'
5.5,0.419,'14'
6.6,0.422,'14'
4.2,0.423,'14'
4.8,0.427,'14'
6.8,0.428,'14'
5.2,0.436,'14'
3.9,0.44,'14'
5.3,0.443,'14'
4.5,0.447,'14'
6.3,0.45,'14'
3.8,0.462,'14'
6.7,0.464,'14'
6.8,0.474,'14'
7.8,0.478,'14'
8.3,0.494,'14'
5,0.498,'14'
4.4,0.499,'14'
5.7,0.5,'14'
6.1,0.501,'14'
5,0.512,'14'
7.7,0.519,'14'
4.3,0.527,'14'
6.1,0.528,'14'
5.7,0.541,'14'
6.5,0.549,'14'
6,0.618,'14'
5.4,0.667,'14'
6.5,0.707,'14'
7.5,0.744,'14'
3.8,0.462,'14'
4.5,0.447,'14'
5.3,0.443,'14'
6.1,0.501,'14'
4.3,0.527,'14'
5.7,0.5,'14'
6.3,0.45,'14'
4.4,0.499,'14'
6.7,0.464,'14'
8.8,0.398,'14'
4.6,0.412,'14'
4.1,0.407,'14'
8.3,0.494,'14'
6.8,0.338,'14'
7.7,0.519,'14'
5.8,0.373,'14'
6.3,0.402,'14'
4.6,0.411,'14'
6.5,0.549,'14'
6.8,0.474,'14'
5.5,0.32,'14'
5.5,0.32,'14'
5.3,0.333,'14'
5,0.512,'14'
5.9,0.393,'14'
7.8,0.478,'14'
4.1,0.387,'14'
4.8,0.427,'14'
6.7,0.396,'14'
5.7,0.541,'14'
5.4,0.667,'14'
6.6,0.422,'14'
6.1,0.528,'14'
4.2,0.423,'14'
8.4,0.408,'14'
6.8,0.38,'14'
4.5,0.277,'14'
4.9,0.418,'14'
6,0.618,'14'
6.5,0.707,'14'
