@relation Dataset_abTBARS
@attribute a numeric
@attribute b numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
2.8,12.2,0.109,'0'
4.2,12,0.222,'0'
2.7,10.9,0.232,'0'
6.7,12.7,0.249,'0'
5.1,14.1,0.284,'0'
5.6,13.2,0.287,'0'
5.1,12.7,0.288,'0'
5,13.3,0.314,'0'
3.7,10.6,0.324,'0'
4.6,11.8,0.332,'0'
4.7,13,0.334,'0'
6.4,14,0.337,'0'
4.4,11,0.338,'0'
3.3,11.9,0.35,'0'
5.6,13.9,0.373,'0'
5.4,12.2,0.384,'0'
6,14.7,0.386,'0'
3.4,12.1,0.411,'0'
3.8,12.5,0.42,'0'
4.7,13.2,0.422,'0'
5.6,14.8,0.43,'0'
5.5,14.1,0.439,'0'
6.1,12.7,0.441,'0'
4.7,14.9,0.444,'0'
5.9,12.7,0.456,'0'
3.2,11.5,0.465,'0'
3.3,11.4,0.468,'0'
4.2,13,0.469,'0'
4.7,11.9,0.482,'0'
3.1,11.6,0.499,'0'
4.8,13,0.505,'0'
4.6,12.3,0.53,'0'
5.6,13.3,0.548,'0'
4.9,13.9,0.549,'0'
4.1,12.2,0.568,'0'
3.9,13.5,0.579,'0'
5.9,14.4,0.589,'0'
4.1,13.5,0.621,'0'
3.6,13.5,0.646,'0'
5.4,14.6,0.663,'0'
5.1,13.9,0.677,'0'
4,14.9,0.691,'0'
5.4,14.2,0.704,'0'
3.7,11.9,0.721,'0'
5.6,12.7,1.136,'0'
5.1,13.9,0.677,'0'
4.6,12.3,0.53,'0'
5.6,14.8,0.43,'0'
3.7,11.9,0.721,'0'
5.6,13.3,0.548,'0'
5.6,13.2,0.287,'0'
4.4,11,0.338,'0'
3.1,11.6,0.499,'0'
5.1,14.1,0.284,'0'
3.8,12.5,0.42,'0'
4.9,13.9,0.549,'0'
6.1,12.7,0.441,'0'
6.4,14,0.337,'0'
4.7,13,0.334,'0'
5.4,14.6,0.663,'0'
4,14.9,0.691,'0'
3.2,11.5,0.465,'0'
3.4,12.1,0.411,'0'
4.8,13,0.505,'0'
5.5,14.1,0.439,'0'
3.7,10.6,0.324,'0'
4.6,11.8,0.332,'0'
2.8,12.2,0.109,'0'
4.1,13.5,0.621,'0'
5.9,12.7,0.456,'0'
4.7,14.9,0.444,'0'
3.3,11.9,0.35,'0'
4.7,11.9,0.482,'0'
2.7,10.9,0.232,'0'
4.2,13,0.469,'0'
3.6,13.5,0.646,'0'
6,14.7,0.386,'0'
3.9,13.5,0.579,'0'
4.1,12.2,0.568,'0'
5.4,11.7,0.276,'7'
5,12.5,0.284,'7'
5.2,12.8,0.306,'7'
3.9,11.1,0.308,'7'
5,14.2,0.316,'7'
5.3,12.4,0.321,'7'
4.3,13.1,0.328,'7'
4.8,12.9,0.331,'7'
5.8,11.2,0.331,'7'
7.3,10.8,0.331,'7'
5.8,11.9,0.336,'7'
4.7,11.8,0.336,'7'
5.8,12.5,0.359,'7'
7.2,15.6,0.361,'7'
5.5,12.5,0.38,'7'
4.3,12.1,0.381,'7'
4.7,11.1,0.384,'7'
4.5,10,0.385,'7'
4.6,13.9,0.398,'7'
4.7,11.9,0.4,'7'
4.2,13.9,0.407,'7'
4.4,11.2,0.415,'7'
6,12.1,0.416,'7'
6.6,14.5,0.416,'7'
