@relation Dataset_aph
@attribute a numeric
@attribute ph numeric
@attribute Class {'0','14','7'}
@data
2.8,5.77,'0'
4.2,5.58,'0'
2.7,5.73,'0'
6.7,5.54,'0'
5.1,5.42,'0'
5.6,5.6,'0'
5.1,5.48,'0'
5,5.55,'0'
3.7,5.67,'0'
4.6,5.64,'0'
4.7,5.55,'0'
6.4,5.66,'0'
4.4,5.41,'0'
3.3,5.48,'0'
5.6,5.57,'0'
5.4,5.44,'0'
6,5.56,'0'
3.4,5.58,'0'
3.8,5.62,'0'
4.7,5.45,'0'
5.6,5.64,'0'
5.5,5.54,'0'
6.1,5.6,'0'
4.7,5.62,'0'
5.9,5.68,'0'
3.2,5.52,'0'
3.3,5.58,'0'
4.2,5.4,'0'
4.7,5.61,'0'
3.1,5.48,'0'
4.8,5.54,'0'
4.6,5.66,'0'
5.6,5.63,'0'
4.9,5.64,'0'
4.1,5.75,'0'
3.9,5.57,'0'
5.9,5.48,'0'
4.1,5.5,'0'
3.6,5.59,'0'
5.4,5.55,'0'
5.1,5.64,'0'
4,5.68,'0'
5.4,5.35,'0'
3.7,5.66,'0'
5.6,5.41,'0'
5.1,5.64,'0'
4.6,5.66,'0'
5.6,5.64,'0'
3.7,5.66,'0'
5.6,5.63,'0'
5.6,5.6,'0'
4.4,5.41,'0'
3.1,5.48,'0'
5.1,5.42,'0'
3.8,5.62,'0'
4.9,5.64,'0'
6.1,5.6,'0'
6.4,5.66,'0'
4.7,5.55,'0'
5.4,5.55,'0'
4,5.68,'0'
3.2,5.52,'0'
3.4,5.58,'0'
4.8,5.54,'0'
5.5,5.54,'0'
3.7,5.67,'0'
4.6,5.64,'0'
2.8,5.77,'0'
4.1,5.5,'0'
5.9,5.68,'0'
4.7,5.62,'0'
3.3,5.48,'0'
4.7,5.61,'0'
2.7,5.73,'0'
4.2,5.4,'0'
3.6,5.59,'0'
6,5.56,'0'
3.9,5.57,'0'
4.1,5.75,'0'
5.4,5.95,'7'
5,5.82,'7'
5.2,5.88,'7'
3.9,5.78,'7'
5,5.75,'7'
5.3,5.89,'7'
4.3,5.75,'7'
4.8,5.82,'7'
5.8,5.86,'7'
7.3,5.88,'7'
5.8,5.72,'7'
4.7,5.88,'7'
5.8,5.79,'7'
7.2,5.75,'7'
5.5,5.71,'7'
4.3,5.75,'7'
4.7,5.9,'7'
4.5,5.85,'7'
4.6,5.77,'7'
4.7,5.82,'7'
4.2,5.63,'7'
4.4,5.86,'7'
6,5.77,'7'
6.6,5.8,'7'
4.5,5.79,'7'
4.2,5.74,'7'
4.6,5.79,'7'
3.5,5.84,'7'
6.6,5.82,'7'
7.1,5.84,'7'
6.4,5.71,'7'
4.2,5.87,'7'
5.8,5.73,'7'
5.9,5.66,'7'
6,5.9,'7'
4.6,5.86,'7'
5.9,5.69,'7'
5.1,5.84,'7'
4.4,5.6,'7'
4.5,5.69,'7'
7.1,5.79,'7'
5.9,5.75,'7'
4.9,5.73,'7'
5.4,5.77,'7'
5.9,5.61,'7'
5.1,5.84,'7'
5.9,5.61,'7'
4.2,5.87,'7'
4.2,5.74,'7'
5.2,5.88,'7'
4.3,5.75,'7'
7.1,5.79,'7'
4.5,5.85,'7'
5.4,5.77,'7'
5.8,5.86,'7'
4.2,5.63,'7'
5.9,5.69,'7'
4.8,5.82,'7'
5.8,5.79,'7'
7.1,5.84,'7'
4.7,5.88,'7'
5.9,5.75,'7'
4.3,5.75,'7'
4.4,5.86,'7'
6,5.9,'7'
5,5.75,'7'
5.4,5.95,'7'
5.8,5.72,'7'
4.7,5.82,'7'
6.4,5.71,'7'
5.8,5.73,'7'
4.6,5.79,'7'
7.3,5.88,'7'
4.7,5.9,'7'
4.9,5.73,'7'
5.3,5.89,'7'
3.9,5.78,'7'
5.5,5.71,'7'
4.5,5.8,'14'
5.5,5.54,'14'
5.5,5.75,'14'
5.3,5.74,'14'
6.8,5.7,'14'
4.7,5.63,'14'
4.2,5.8,'14'
5.8,5.72,'14'
6.8,5.96,'14'
3.5,5.98,'14'
4.1,5.75,'14'
5.8,5.76,'14'
5.9,5.7,'14'
6.7,5.88,'14'
8.8,5.7,'14'
6.3,5.7,'14'
7.6,5.7,'14'
4.1,5.98,'14'
8.4,5.8,'14'
4.6,6.02,'14'
4.6,5.58,'14'
4.9,6.01,'14'
5.5,5.77,'14'
6.6,5.71,'14'
4.2,5.68,'14'
4.8,5.86,'14'
6.8,5.83,'14'
5.2,5.7,'14'
3.9,5.9,'14'
5.3,5.84,'14'
4.5,5.82,'14'
6.3,5.9,'14'
3.8,5.89,'14'
6.7,5.77,'14'
6.8,5.53,'14'
7.8,5.63,'14'
8.3,5.61,'14'
5,5.67,'14'
4.4,5.69,'14'
5.7,5.8,'14'
6.1,5.83,'14'
5,5.7,'14'
7.7,5.84,'14'
4.3,5.87,'14'
6.1,5.68,'14'
5.7,5.82,'14'
6.5,5.62,'14'
6,5.81,'14'
5.4,5.59,'14'
6.5,5.88,'14'
7.5,5.8,'14'
3.8,5.89,'14'
4.5,5.82,'14'
5.3,5.84,'14'
6.1,5.83,'14'
4.3,5.87,'14'
5.7,5.8,'14'
6.3,5.9,'14'
4.4,5.69,'14'
6.7,5.77,'14'
8.8,5.7,'14'
4.6,5.58,'14'
4.1,5.98,'14'
8.3,5.61,'14'
6.8,5.7,'14'
7.7,5.84,'14'
5.8,5.72,'14'
6.3,5.7,'14'
4.6,6.02,'14'
6.5,5.62,'14'
6.8,5.53,'14'
5.5,5.54,'14'
5.5,5.75,'14'
5.3,5.74,'14'
5,5.7,'14'
5.9,5.7,'14'
7.8,5.63,'14'
4.1,5.75,'14'
4.8,5.86,'14'
6.7,5.88,'14'
5.7,5.82,'14'
5.4,5.59,'14'
