@relation Dataset_bphTBARS
@attribute b numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
12.2,5.77,0.109,'0'
12,5.58,0.222,'0'
10.9,5.73,0.232,'0'
12.7,5.54,0.249,'0'
14.1,5.42,0.284,'0'
13.2,5.6,0.287,'0'
12.7,5.48,0.288,'0'
13.3,5.55,0.314,'0'
10.6,5.67,0.324,'0'
11.8,5.64,0.332,'0'
13,5.55,0.334,'0'
14,5.66,0.337,'0'
11,5.41,0.338,'0'
11.9,5.48,0.35,'0'
13.9,5.57,0.373,'0'
12.2,5.44,0.384,'0'
14.7,5.56,0.386,'0'
12.1,5.58,0.411,'0'
12.5,5.62,0.42,'0'
13.2,5.45,0.422,'0'
14.8,5.64,0.43,'0'
14.1,5.54,0.439,'0'
12.7,5.6,0.441,'0'
14.9,5.62,0.444,'0'
12.7,5.68,0.456,'0'
11.5,5.52,0.465,'0'
11.4,5.58,0.468,'0'
13,5.4,0.469,'0'
11.9,5.61,0.482,'0'
11.6,5.48,0.499,'0'
13,5.54,0.505,'0'
12.3,5.66,0.53,'0'
13.3,5.63,0.548,'0'
13.9,5.64,0.549,'0'
12.2,5.75,0.568,'0'
13.5,5.57,0.579,'0'
14.4,5.48,0.589,'0'
13.5,5.5,0.621,'0'
13.5,5.59,0.646,'0'
14.6,5.55,0.663,'0'
13.9,5.64,0.677,'0'
14.9,5.68,0.691,'0'
14.2,5.35,0.704,'0'
11.9,5.66,0.721,'0'
12.7,5.41,1.136,'0'
13.9,5.64,0.677,'0'
12.3,5.66,0.53,'0'
14.8,5.64,0.43,'0'
11.9,5.66,0.721,'0'
13.3,5.63,0.548,'0'
13.2,5.6,0.287,'0'
11,5.41,0.338,'0'
11.6,5.48,0.499,'0'
14.1,5.42,0.284,'0'
12.5,5.62,0.42,'0'
13.9,5.64,0.549,'0'
12.7,5.6,0.441,'0'
14,5.66,0.337,'0'
13,5.55,0.334,'0'
14.6,5.55,0.663,'0'
14.9,5.68,0.691,'0'
11.5,5.52,0.465,'0'
12.1,5.58,0.411,'0'
13,5.54,0.505,'0'
14.1,5.54,0.439,'0'
10.6,5.67,0.324,'0'
11.8,5.64,0.332,'0'
12.2,5.77,0.109,'0'
13.5,5.5,0.621,'0'
12.7,5.68,0.456,'0'
14.9,5.62,0.444,'0'
11.9,5.48,0.35,'0'
11.9,5.61,0.482,'0'
10.9,5.73,0.232,'0'
13,5.4,0.469,'0'
13.5,5.59,0.646,'0'
14.7,5.56,0.386,'0'
13.5,5.57,0.579,'0'
12.2,5.75,0.568,'0'
11.7,5.95,0.276,'7'
12.5,5.82,0.284,'7'
12.8,5.88,0.306,'7'
11.1,5.78,0.308,'7'
14.2,5.75,0.316,'7'
12.4,5.89,0.321,'7'
13.1,5.75,0.328,'7'
12.9,5.82,0.331,'7'
11.2,5.86,0.331,'7'
10.8,5.88,0.331,'7'
11.9,5.72,0.336,'7'
11.8,5.88,0.336,'7'
12.5,5.79,0.359,'7'
15.6,5.75,0.361,'7'
12.5,5.71,0.38,'7'
12.1,5.75,0.381,'7'
11.1,5.9,0.384,'7'
10,5.85,0.385,'7'
13.9,5.77,0.398,'7'
11.9,5.82,0.4,'7'
13.9,5.63,0.407,'7'
11.2,5.86,0.415,'7'
12.1,5.77,0.416,'7'
14.5,5.8,0.416,'7'
12.7,5.79,0.419,'7'
13.1,5.74,0.427,'7'
12.2,5.79,0.431,'7'
10.5,5.84,0.439,'7'
13.6,5.82,0.44,'7'
11.6,5.84,0.445,'7'
14.8,5.71,0.478,'7'
12.6,5.87,0.486,'7'
14.8,5.73,0.495,'7'
13.1,5.66,0.496,'7'
10.5,5.9,0.516,'7'
12.7,5.86,0.525,'7'
14.2,5.69,0.534,'7'
13.8,5.84,0.536,'7'
12.1,5.6,0.546,'7'
13.3,5.69,0.584,'7'
13.2,5.79,0.592,'7'
14.6,5.75,0.623,'7'
13.4,5.73,0.628,'7'
11.9,5.77,0.645,'7'
13.2,5.61,0.691,'7'
13.8,5.84,0.536,'7'
13.2,5.61,0.691,'7'
12.6,5.87,0.486,'7'
13.1,5.74,0.427,'7'
12.8,5.88,0.306,'7'
12.1,5.75,0.381,'7'
13.2,5.79,0.592,'7'
10,5.85,0.385,'7'
11.9,5.77,0.645,'7'
11.2,5.86,0.331,'7'
13.9,5.63,0.407,'7'
14.2,5.69,0.534,'7'
12.9,5.82,0.331,'7'
12.5,5.79,0.359,'7'
11.6,5.84,0.445,'7'
11.8,5.88,0.336,'7'
14.6,5.75,0.623,'7'
13.1,5.75,0.328,'7'
11.2,5.86,0.415,'7'
10.5,5.9,0.516,'7'
14.2,5.75,0.316,'7'
11.7,5.95,0.276,'7'
11.9,5.72,0.336,'7'
11.9,5.82,0.4,'7'
14.8,5.71,0.478,'7'
14.8,5.73,0.495,'7'
12.2,5.79,0.431,'7'
10.8,5.88,0.331,'7'
11.1,5.9,0.384,'7'
13.4,5.73,0.628,'7'
12.4,5.89,0.321,'7'
11.1,5.78,0.308,'7'
12.5,5.71,0.38,'7'
12.6,5.8,0.277,'14'
12.7,5.54,0.32,'14'
16.1,5.75,0.32,'14'
14.7,5.74,0.333,'14'
