@relation Dataset_phTBARS
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {'0','14','7'}
@data
5.77,0.109,'0'
5.58,0.222,'0'
5.73,0.232,'0'
5.54,0.249,'0'
5.42,0.284,'0'
5.6,0.287,'0'
5.48,0.288,'0'
5.55,0.314,'0'
5.67,0.324,'0'
5.64,0.332,'0'
5.55,0.334,'0'
5.66,0.337,'0'
5.41,0.338,'0'
5.48,0.35,'0'
5.57,0.373,'0'
5.44,0.384,'0'
5.56,0.386,'0'
5.58,0.411,'0'
5.62,0.42,'0'
5.45,0.422,'0'
5.64,0.43,'0'
5.54,0.439,'0'
5.6,0.441,'0'
5.62,0.444,'0'
5.68,0.456,'0'
5.52,0.465,'0'
5.58,0.468,'0'
5.4,0.469,'0'
5.61,0.482,'0'
5.48,0.499,'0'
5.54,0.505,'0'
5.66,0.53,'0'
5.63,0.548,'0'
5.64,0.549,'0'
5.75,0.568,'0'
5.57,0.579,'0'
5.48,0.589,'0'
5.5,0.621,'0'
5.59,0.646,'0'
5.55,0.663,'0'
5.64,0.677,'0'
5.68,0.691,'0'
5.35,0.704,'0'
5.66,0.721,'0'
5.41,1.136,'0'
5.64,0.677,'0'
5.66,0.53,'0'
5.64,0.43,'0'
5.66,0.721,'0'
5.63,0.548,'0'
5.6,0.287,'0'
5.41,0.338,'0'
5.48,0.499,'0'
5.42,0.284,'0'
5.62,0.42,'0'
5.64,0.549,'0'
5.6,0.441,'0'
5.66,0.337,'0'
5.55,0.334,'0'
5.55,0.663,'0'
5.68,0.691,'0'
5.52,0.465,'0'
5.58,0.411,'0'
5.54,0.505,'0'
5.54,0.439,'0'
5.67,0.324,'0'
5.64,0.332,'0'
5.77,0.109,'0'
5.5,0.621,'0'
5.68,0.456,'0'
5.62,0.444,'0'
5.48,0.35,'0'
5.61,0.482,'0'
5.73,0.232,'0'
5.4,0.469,'0'
5.59,0.646,'0'
5.56,0.386,'0'
5.57,0.579,'0'
5.75,0.568,'0'
5.95,0.276,'7'
5.82,0.284,'7'
5.88,0.306,'7'
5.78,0.308,'7'
5.75,0.316,'7'
5.89,0.321,'7'
5.75,0.328,'7'
5.82,0.331,'7'
5.86,0.331,'7'
5.88,0.331,'7'
5.72,0.336,'7'
5.88,0.336,'7'
5.79,0.359,'7'
5.75,0.361,'7'
5.71,0.38,'7'
5.75,0.381,'7'
5.9,0.384,'7'
5.85,0.385,'7'
5.77,0.398,'7'
5.82,0.4,'7'
5.63,0.407,'7'
5.86,0.415,'7'
5.77,0.416,'7'
5.8,0.416,'7'
5.79,0.419,'7'
5.74,0.427,'7'
5.79,0.431,'7'
5.84,0.439,'7'
5.82,0.44,'7'
5.84,0.445,'7'
5.71,0.478,'7'
5.87,0.486,'7'
5.73,0.495,'7'
5.66,0.496,'7'
5.9,0.516,'7'
5.86,0.525,'7'
5.69,0.534,'7'
5.84,0.536,'7'
5.6,0.546,'7'
5.69,0.584,'7'
5.79,0.592,'7'
5.75,0.623,'7'
5.73,0.628,'7'
5.77,0.645,'7'
5.61,0.691,'7'
5.84,0.536,'7'
5.61,0.691,'7'
5.87,0.486,'7'
5.74,0.427,'7'
5.88,0.306,'7'
5.75,0.381,'7'
5.79,0.592,'7'
5.85,0.385,'7'
5.77,0.645,'7'
5.86,0.331,'7'
5.63,0.407,'7'
5.69,0.534,'7'
5.82,0.331,'7'
5.79,0.359,'7'
5.84,0.445,'7'
5.88,0.336,'7'
5.75,0.623,'7'
5.75,0.328,'7'
5.86,0.415,'7'
5.9,0.516,'7'
5.75,0.316,'7'
5.95,0.276,'7'
5.72,0.336,'7'
5.82,0.4,'7'
5.71,0.478,'7'
5.73,0.495,'7'
5.79,0.431,'7'
5.88,0.331,'7'
5.9,0.384,'7'
5.73,0.628,'7'
5.89,0.321,'7'
5.78,0.308,'7'
5.71,0.38,'7'
5.8,0.277,'14'
5.54,0.32,'14'
5.75,0.32,'14'
5.74,0.333,'14'
5.7,0.338,'14'
5.63,0.342,'14'
5.8,0.367,'14'
5.72,0.373,'14'
5.96,0.38,'14'
5.98,0.381,'14'
5.75,0.387,'14'
5.76,0.388,'14'
5.7,0.393,'14'
5.88,0.396,'14'
5.7,0.398,'14'
5.7,0.402,'14'
5.7,0.404,'14'
5.98,0.407,'14'
5.8,0.408,'14'
6.02,0.411,'14'
5.58,0.412,'14'
6.01,0.418,'14'
5.77,0.419,'14'
5.71,0.422,'14'
5.68,0.423,'14'
5.86,0.427,'14'
5.83,0.428,'14'
5.7,0.436,'14'
5.9,0.44,'14'
5.84,0.443,'14'
5.82,0.447,'14'
5.9,0.45,'14'
5.89,0.462,'14'
5.77,0.464,'14'
5.53,0.474,'14'
5.63,0.478,'14'
5.61,0.494,'14'
5.67,0.498,'14'
5.69,0.499,'14'
5.8,0.5,'14'
5.83,0.501,'14'
5.7,0.512,'14'
5.84,0.519,'14'
5.87,0.527,'14'
5.68,0.528,'14'
5.82,0.541,'14'
5.62,0.549,'14'
5.81,0.618,'14'
5.59,0.667,'14'
5.88,0.707,'14'
5.8,0.744,'14'
5.89,0.462,'14'
5.82,0.447,'14'
5.84,0.443,'14'
5.83,0.501,'14'
5.87,0.527,'14'
5.8,0.5,'14'
5.9,0.45,'14'
5.69,0.499,'14'
5.77,0.464,'14'
5.7,0.398,'14'
5.58,0.412,'14'
5.98,0.407,'14'
5.61,0.494,'14'
5.7,0.338,'14'
5.84,0.519,'14'
5.72,0.373,'14'
5.7,0.402,'14'
6.02,0.411,'14'
5.62,0.549,'14'
5.53,0.474,'14'
5.54,0.32,'14'
5.75,0.32,'14'
5.74,0.333,'14'
5.7,0.512,'14'
5.7,0.393,'14'
5.63,0.478,'14'
5.75,0.387,'14'
5.86,0.427,'14'
5.88,0.396,'14'
5.82,0.541,'14'
5.59,0.667,'14'
5.71,0.422,'14'
5.68,0.528,'14'
5.68,0.423,'14'
5.8,0.408,'14'
5.96,0.38,'14'
5.8,0.277,'14'
6.01,0.418,'14'
5.81,0.618,'14'
5.88,0.707,'14'
5.9,0.44,'14'
5.63,0.342,'14'
