@relation 'Base de dados - Análises tradicionais'

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Dia {0,7,14}

@data

54.3,6.8,15.5,25.31,5.45,0.659,0
53.9,5.7,13.9,20.89,5.54,0.366,0
52.4,5.4,13.7,26.63,5.64,0.621,0
53.9,3.7,13.5,23.04,5.54,0.331,0
52.4,5.5,13.8,25.44,5.63,0.498,0
53.2,5.1,13.9,26.37,5.64,0.677,0
49.7,6.5,13.7,34.4,5.5,0.58,0
56.4,6.3,15.7,30.8,5.43,0.706,0
56.7,7.1,15.3,29.53,5.5,0.773,0
50.2,4.6,12.3,26.69,5.66,0.53,0
54.1,5.6,14.8,24.04,5.64,0.43,0
53.1,5,13.3,27.5,5.55,0.314,0
51.6,3.7,11.9,24.24,5.66,0.721,0
51.2,2.8,11.6,26.83,5.61,0.526,0
50.9,3.3,11.4,22.93,5.58,0.468,0
50.9,5.6,13.3,21.41,5.63,0.548,0
49.5,5.1,12.6,23.18,5.61,0.349,0
51.2,5.4,12.2,25.23,5.44,0.384,0
53.4,4.1,12.9,22.01,5.59,0.504,0
54.1,4.4,13.2,25.52,5.5,0.411,0
47.7,3.3,10.6,25.02,5.65,0.289,0
49,5.6,13.2,25.14,5.6,0.287,0
48,4.4,11,20.61,5.41,0.338,0
51.4,3.1,11.6,26.23,5.48,0.499,0
52.3,4.2,12.6,26.28,5.39,0.593,0
50,6.3,13.8,26.36,5.55,0.51,0
51.8,8.3,14.9,24.48,5.54,0.419,0
47.2,7.1,11.6,23.45,5.57,0.455,0
52.5,7.9,13.9,26.18,5.45,0.574,0
53.7,5.1,14.1,27.43,5.42,0.284,0
53.8,7,15.1,25.98,5.42,0.586,0
53,3.8,12.5,24.99,5.62,0.42,0
52.2,4.6,13.1,21.23,5.57,0.383,0
53.9,4.9,13.9,21.53,5.64,0.549,0
48.3,6.1,12.7,24.45,5.6,0.441,0
52.9,6.4,14,23.32,5.66,0.337,0
52.6,5.6,13.9,24.9,5.57,0.373,0
50.4,4.7,13,24.64,5.55,0.334,0
53.4,5.4,14.6,25.93,5.55,0.663,0
50,7.8,14.1,24.09,5.5,0.587,0
54.1,4,14.9,23.08,5.68,0.691,0
51.8,5.1,12.7,25.85,5.48,0.288,0
50.4,4.5,12,23.01,5.41,0.348,0
50.3,3.2,11.5,27.17,5.52,0.465,0
52.2,4.7,13.2,21.75,5.45,0.422,0
51.8,3.4,12.1,29.31,5.58,0.411,0
52.6,4.8,13,26.46,5.54,0.505,0
49.5,6.4,12.2,19.66,5.29,0.355,0
50.7,4.5,11.3,18.95,5.59,0.404,0
48.9,4.2,11.2,29.8,5.63,0.422,0
53.1,5.6,14.3,26.76,5.53,0.317,0
54.3,5.5,14.1,29.08,5.54,0.439,0
47,3.7,10.6,26.29,5.67,0.324,0
47.8,4.6,11.8,20.85,5.64,0.332,0
54.7,2.8,12.2,25.75,5.77,0.109,0
51.7,2.5,11.2,25.72,5.52,0.307,0
49.2,5.2,12.3,22.23,5.68,0.392,0
54.6,3.4,14.1,23.14,5.57,0.43,0
48,5.1,11.2,24.11,5.64,0.347,0
55.8,5.6,15.1,24.15,5.44,0.467,0
54,6.8,14.9,30.4,5.41,0.436,0
50.5,6.6,13.3,27.95,5.5,0.412,0
52.2,4.1,13.5,29.47,5.5,0.621,0
53.5,5,14.3,21.16,5.63,0.535,0
55.4,4.3,13.5,21.56,5.39,0.362,0
47.9,5.9,12.7,22.66,5.68,0.456,0
52.5,5.4,14.2,25.56,5.35,0.704,0
51.1,6.5,13.6,23.46,5.58,0.278,0
55.1,4.7,14.9,23.36,5.62,0.444,0
49.1,6.5,13.1,25.53,5.48,0.29,0
53.1,3.4,13.8,18.47,5.61,0.32,0
50.4,4.2,12.9,22.96,5.57,0.258,0
50.1,5.9,14.4,25.3,5.48,0.589,0
51.5,3.3,11.9,25.14,5.48,0.35,0
50.5,5.3,12.6,23.6,5.54,0.483,0
47.5,6.7,12.7,21.65,5.54,0.249,0
50.7,2.9,11.9,27.06,5.55,0.307,0
49.3,3.2,11.1,26.14,5.61,0.365,0
50.8,4.2,12,22.08,5.58,0.222,0
48.7,4.7,11.9,21.1,5.61,0.482,0
49.4,2.7,10.9,22.05,5.73,0.232,0
52.7,4.2,13,26.57,5.4,0.469,0
54.3,3.6,13.5,28.87,5.59,0.646,0
53.4,5.4,14.1,19.98,5.54,0.464,0
53.4,6,14.7,24.38,5.56,0.386,0
54.5,3.9,13.5,27.02,5.57,0.579,0
50.7,4.1,12.2,27.69,5.75,0.568,0
54.3,2.6,13,21.82,5.7,0.413,0
50.1,5.3,13.5,26.15,5.68,0.277,0
54.2,4.7,15,26.09,5.4,0.673,0
52.9,4.3,12.9,21.68,5.62,0.383,0
53.4333,3.0333,9.9667,34.9747,5.78,0.5665,0
57.4333,7.1667,12.2333,34.8927,5.63,0.5807,0
53.8,4.7667,10.5,31.4806,5.71,0.6362,0
54.5333,6.4333,11.4667,35.7614,5.62,0.6621,0
57.7,6.2667,12.1333,37.7714,5.63,0.6421,0
53.1333,3.9667,9.5667,31.1841,5.79,0.6645,0
55.5,4.4,11.1667,40.9078,5.54,0.4801,0
57.8,6.7,13.0333,32.93,5.7,0.4186,0
53.8667,5.7333,10.4,29.554,5.68,0.637,0
57.0333,8.0667,12.9667,30.2633,5.63,0.4622,0
55.5333,5.0333,11.0333,35.0595,5.66,0.6147,0
54.6333,4.8333,11.3667,29.9921,5.75,0.3113,0
52.4667,3.9667,9.4667,34.9651,5.57,0.3852,0
55.2667,8.0333,12.1333,35.823,5.36,0.3985,0
53.7333,4.9,10.5,31.44,5.51,0.298,0
51.8667,4.4667,9.7667,33.0439,5.53,0.2665,0
54.0333,5.3667,10.7333,35.5741,5.62,0.2459,0
52.1,5.4,9.8667,33.1358,5.54,0.6752,0
54.7333,5,10.5333,34.4789,5.62,0.401,0
58.9,7.5667,12.6333,38.7596,5.5,0.3811,0
