@relation Carne
@attribute 'ph' real
@attribute 'L1' real
@attribute 'L2' real
@attribute 'L3' real
@attribute 'XL' real
@attribute 'a1' real
@attribute 'a2' real
@attribute 'a3' real
@attribute 'Xa' real
@attribute 'b1' real
@attribute 'b2' real
@attribute 'b3' real
@attribute 'Xb' real
@attribute 'PAP' real
@attribute 'TMP' real
@attribute 'Type' { 'n14', '14'}
@data
5.81,44.4,45.3,47.9,45.9,6.6,7.4,5.6,6.5,11.8,12.8,12.2,12.3,23.24,0.648,n14
5.64,52.5,52.3,54.9,53.2,6.4,4.1,4.8,5.1,14.1,13.2,14.4,13.9,26.37,0.677,n14
5.43,56,55.4,57.7,56.4,6,5.7,7.1,6.3,15.3,14.9,16.8,15.7,30.80,0.706,n14
5.5,56.4,54.9,58.7,56.7,7.9,6.5,6.8,7.1,15.3,14.6,16,15.3,29.53,0.773,n14
5.66,47.6,53.6,49.3,50.2,5.1,3.7,5.1,4.6,11.2,13.3,12.4,12.3,26.69,0.530,n14
5.64,52.7,53.9,55.7,54.1,3.9,7.7,5.1,5.6,13.5,16.2,14.6,14.8,24.04,0.430,n14
5.55,54.5,50.4,54.5,53.1,4.2,5.0,5.8,5.0,13.7,11.8,14.3,13.3,27.50,0.314,n14
5.66,52.7,51.7,50.3,51.6,4.1,2.7,4.4,3.7,12.8,10.5,12.4,11.9,24.24,0.721,n14
5.58,50.5,51.1,51.0,50.9,3.4,2.5,3.9,3.3,11.5,11.0,11.7,11.4,22.93,0.468,n14
5.63,51.8,48.3,52.5,50.9,4.4,5.9,6.4,5.6,12.9,12.7,14.4,13.3,21.41,0.548,n14
5.84,47.3,51.1,50.4,49.6,6.2,4.3,5.2,5.2,10.7,12.6,12.7,12.0,23.78,0.271,n14
5.44,53.5,51.3,48.9,51.2,7.3,2.6,6.2,5.4,14.2,11,11.5,12.2,25.23,0.384,n14
5.6,47,51.8,48.3,49.0,5.3,5.1,6.4,5.6,11.9,14.2,13.4,13.2,25.14,0.287,n14
5.82,49.4,51.1,52.1,50.9,3.8,1.8,2.2,2.6,12.1,11.4,12,11.8,24.57,0.504,n14
5.41,45.8,50.8,47.5,48.0,4.7,5,3.6,4.4,10.5,12.1,10.5,11.0,20.61,0.338,n14
5.48,51,50,53.3,51.4,4.4,2.9,2.1,3.1,12,11.2,11.7,11.6,26.23,0.499,n14
5.54,52.6,51.1,51.8,51.8,8.6,8.5,7.9,8.3,15.6,14.9,14.3,14.9,24.48,0.419,n14
5.45,52.6,50.7,54.3,52.5,7.8,8.1,7.7,7.9,13.6,13.9,14.3,13.9,26.18,0.574,n14
5.42,54.4,53.9,52.8,53.7,4.4,6.8,4.1,5.1,13.5,15.7,13.2,14.1,27.43,0.284,n14
5.62,55.2,48.2,55.6,53.0,6.3,2.7,2.5,3.8,14.9,10.4,12.1,12.5,24.99,0.420,n14
5.61,62.0,60,60.1,60.7,6.3,6.3,6.7,6.4,17.5,17.2,16.8,17.2,28.80,0.333,n14
5.64,53.7,56.4,51.6,53.9,5.1,5.1,4.4,4.9,14.2,14.6,12.9,13.9,21.53,0.549,n14
5.6,46.8,49.4,48.7,48.3,7.3,6.3,4.6,6.1,12.7,13.1,12.3,12.7,24.45,0.441,n14
5.66,51.1,54.4,53.1,52.9,5.5,6.2,7.4,6.4,12.4,14.8,14.9,14.0,23.32,0.337,n14
5.28,49.7,54.4,55.6,53.2,5.3,5.3,5.7,5.4,12.2,13.5,15.1,13.6,25.06,0.467,n14
5.57,52.6,51,54.2,52.6,5.4,7,4.5,5.6,13.5,14.5,13.7,13.9,24.90,0.373,n14
5.55,50.9,48.1,52.1,50.4,3.9,6.6,3.7,4.7,13.2,12.9,12.8,13.0,24.64,0.334,n14
5.55,53.2,55.1,51.8,53.4,6.1,5.8,4.3,5.4,15.3,15,13.4,14.6,25.93,0.663,n14
5.68,55.2,57,50.2,54.1,3.2,3.6,5.2,4.0,16.2,14.6,14,14.9,23.08,0.691,n14
5.48,51.1,53.1,51.2,51.8,5.5,5.5,4.3,5.1,12.8,13.3,12.1,12.7,25.85,0.288,n14
5.52,50.2,49.4,51.4,50.3,4,2.2,3.4,3.2,11.9,11,11.5,11.5,27.17,0.465,n14
