@relation R_data_frame

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute Class {1,2,3}

@data
54.7,2.8,12.2,1
50.8,4.2,12,1
49.4,2.7,10.9,1
47.5,6.7,12.7,1
53.7,5.1,14.1,1
49,5.6,13.2,1
51.8,5.1,12.7,1
53.1,5,13.3,1
47,3.7,10.6,1
47.8,4.6,11.8,1
50.4,4.7,13,1
52.9,6.4,14,1
48,4.4,11,1
51.5,3.3,11.9,1
52.6,5.6,13.9,1
51.2,5.4,12.2,1
53.4,6,14.7,1
51.8,3.4,12.1,1
53,3.8,12.5,1
52.2,4.7,13.2,1
54.1,5.6,14.8,1
54.3,5.5,14.1,1
48.3,6.1,12.7,1
55.1,4.7,14.9,1
47.9,5.9,12.7,1
50.3,3.2,11.5,1
50.9,3.3,11.4,1
52.7,4.2,13,1
48.7,4.7,11.9,1
51.4,3.1,11.6,1
52.6,4.8,13,1
50.2,4.6,12.3,1
50.9,5.6,13.3,1
53.9,4.9,13.9,1
50.7,4.1,12.2,1
54.5,3.9,13.5,1
50.1,5.9,14.4,1
52.2,4.1,13.5,1
54.3,3.6,13.5,1
53.4,5.4,14.6,1
53.2,5.1,13.9,1
54.1,4,14.9,1
52.5,5.4,14.2,1
51.6,3.7,11.9,1
50.8,5.6,12.7,1
53.2,5.1,13.9,1
50.2,4.6,12.3,1
54.1,5.6,14.8,1
51.6,3.7,11.9,1
50.9,5.6,13.3,1
49,5.6,13.2,1
48,4.4,11,1
51.4,3.1,11.6,1
53.7,5.1,14.1,1
53,3.8,12.5,1
53.9,4.9,13.9,1
48.3,6.1,12.7,1
52.9,6.4,14,1
50.4,4.7,13,1
53.4,5.4,14.6,1
54.1,4,14.9,1
50.3,3.2,11.5,1
51.8,3.4,12.1,1
52.6,4.8,13,1
54.3,5.5,14.1,1
47,3.7,10.6,1
47.8,4.6,11.8,1
54.7,2.8,12.2,1
52.2,4.1,13.5,1
47.9,5.9,12.7,1
55.1,4.7,14.9,1
51.5,3.3,11.9,1
48.7,4.7,11.9,1
49.4,2.7,10.9,1
52.7,4.2,13,1
54.3,3.6,13.5,1
53.4,6,14.7,1
54.5,3.9,13.5,1
50.7,4.1,12.2,1
49.7,5.4,11.7,3
51.7,5,12.5,3
51,5.2,12.8,3
51.9,3.9,11.1,3
55.3,5,14.2,3
51,5.3,12.4,3
52.1,4.3,13.1,3
52.9,4.8,12.9,3
47.2,5.8,11.2,3
48.3,7.3,10.8,3
49.2,5.8,11.9,3
50.2,4.7,11.8,3
52.1,5.8,12.5,3
52.4,7.2,15.6,3
50.7,5.5,12.5,3
51.3,4.3,12.1,3
47.6,4.7,11.1,3
47.1,4.5,10,3
53,4.6,13.9,3
52.7,4.7,11.9,3
53.9,4.2,13.9,3
48.7,4.4,11.2,3
48.8,6,12.1,3
53.7,6.6,14.5,3
52.7,4.5,12.7,3
53.8,4.2,13.1,3
52.3,4.6,12.2,3
50.9,3.5,10.5,3
51.5,6.6,13.6,3
48.5,7.1,11.6,3
51.2,6.4,14.8,3
52.5,4.2,12.6,3
53.6,5.8,14.8,3
51.8,5.9,13.1,3
49,6,10.5,3
53.2,4.6,12.7,3
55.7,5.9,14.2,3
52.8,5.1,13.8,3
51,4.4,12.1,3
53.9,4.5,13.3,3
51.2,7.1,13.2,3
55.1,5.9,14.6,3
52.1,4.9,13.4,3
49.9,5.4,11.9,3
51.5,5.9,13.2,3
52.8,5.1,13.8,3
51.5,5.9,13.2,3
52.5,4.2,12.6,3
53.8,4.2,13.1,3
51,5.2,12.8,3
51.3,4.3,12.1,3
51.2,7.1,13.2,3
47.1,4.5,10,3
49.9,5.4,11.9,3
47.2,5.8,11.2,3
53.9,4.2,13.9,3
55.7,5.9,14.2,3
52.9,4.8,12.9,3
52.1,5.8,12.5,3
48.5,7.1,11.6,3
50.2,4.7,11.8,3
55.1,5.9,14.6,3
52.1,4.3,13.1,3
48.7,4.4,11.2,3
49,6,10.5,3
55.3,5,14.2,3
49.7,5.4,11.7,3
49.2,5.8,11.9,3
52.7,4.7,11.9,3
51.2,6.4,14.8,3
53.6,5.8,14.8,3
52.3,4.6,12.2,3
48.3,7.3,10.8,3
47.6,4.7,11.1,3
52.1,4.9,13.4,3
51,5.3,12.4,3
51.9,3.9,11.1,3
50.7,5.5,12.5,3
54.4,4.5,12.6,2
53.2,5.5,12.7,2
52.8,5.5,16.1,2
51.3,5.3,14.7,2
54.5,6.8,13.1,2
54.4,4.7,14.5,2
54,4.2,12.7,2
55.9,5.8,16.4,2
51.8,6.8,13.2,2
55.3,3.5,12.2,2
55.9,4.1,12.2,2
55.1,5.8,13.8,2
53.4,5.9,13.9,2
54.2,6.7,13.5,2
52.3,8.8,17.3,2
54.1,6.3,13.2,2
54.6,7.6,16,2
55.4,4.1,13.1,2
50.3,8.4,15.6,2
53.2,4.6,12,2
56.5,4.6,14.2,2
54,4.9,13.5,2
51.9,5.5,12.2,2
54.2,6.6,15.5,2
54.5,4.2,13.7,2
50.7,4.8,11,2
51.4,6.8,14.3,2
54.4,5.2,14.2,2
52,3.9,11.1,2
54.3,5.3,14.4,2
54.9,4.5,12.7,2
52.1,6.3,12.6,2
54.7,3.8,13.5,2
54.1,6.7,15.4,2
52.4,6.8,14.7,2
52.7,7.8,12.3,2
56.6,8.3,16.4,2
56.2,5,14.5,2
54.9,4.4,13.3,2
53.2,5.7,12.5,2
51.9,6.1,13.2,2
51.1,5,12,2
52.7,7.7,14.4,2
50.6,4.3,10.1,2
56,6.1,16.2,2
51.6,5.7,13.1,2
55.8,6.5,17.9,2
54.4,6,16,2
54.1,5.4,15.3,2
53.4,6.5,14.7,2
52.7,7.5,15.5,2
54.7,3.8,13.5,2
54.9,4.5,12.7,2
54.3,5.3,14.4,2
51.9,6.1,13.2,2
50.6,4.3,10.1,2
53.2,5.7,12.5,2
52.1,6.3,12.6,2
54.9,4.4,13.3,2
54.1,6.7,15.4,2
52.3,8.8,17.3,2
56.5,4.6,14.2,2
55.4,4.1,13.1,2
56.6,8.3,16.4,2
54.5,6.8,13.1,2
52.7,7.7,14.4,2
55.9,5.8,16.4,2
54.1,6.3,13.2,2
53.2,4.6,12,2
55.8,6.5,17.9,2
52.4,6.8,14.7,2
53.2,5.5,12.7,2
52.8,5.5,16.1,2
51.3,5.3,14.7,2
51.1,5,12,2
53.4,5.9,13.9,2
52.7,7.8,12.3,2
55.9,4.1,12.2,2
50.7,4.8,11,2
54.2,6.7,13.5,2
51.6,5.7,13.1,2
54.1,5.4,15.3,2
54.2,6.6,15.5,2
56,6.1,16.2,2
54.5,4.2,13.7,2
50.3,8.4,15.6,2
51.8,6.8,13.2,2
54.4,4.5,12.6,2
54,4.9,13.5,2
54.4,6,16,2
53.4,6.5,14.7,2
52,3.9,11.1,2
54.4,4.7,14.5,2
