@relation R_data_frame

@attribute L numeric
@attribute a numeric
@attribute Class {1,2,3}

@data
54.7,2.8,1
50.8,4.2,1
49.4,2.7,1
47.5,6.7,1
53.7,5.1,1
49,5.6,1
51.8,5.1,1
53.1,5,1
47,3.7,1
47.8,4.6,1
50.4,4.7,1
52.9,6.4,1
48,4.4,1
51.5,3.3,1
52.6,5.6,1
51.2,5.4,1
53.4,6,1
51.8,3.4,1
53,3.8,1
52.2,4.7,1
54.1,5.6,1
54.3,5.5,1
48.3,6.1,1
55.1,4.7,1
47.9,5.9,1
50.3,3.2,1
50.9,3.3,1
52.7,4.2,1
48.7,4.7,1
51.4,3.1,1
52.6,4.8,1
50.2,4.6,1
50.9,5.6,1
53.9,4.9,1
50.7,4.1,1
54.5,3.9,1
50.1,5.9,1
52.2,4.1,1
54.3,3.6,1
53.4,5.4,1
53.2,5.1,1
54.1,4,1
52.5,5.4,1
51.6,3.7,1
50.8,5.6,1
53.2,5.1,1
50.2,4.6,1
54.1,5.6,1
51.6,3.7,1
50.9,5.6,1
49,5.6,1
48,4.4,1
51.4,3.1,1
53.7,5.1,1
53,3.8,1
53.9,4.9,1
48.3,6.1,1
52.9,6.4,1
50.4,4.7,1
53.4,5.4,1
54.1,4,1
50.3,3.2,1
51.8,3.4,1
52.6,4.8,1
54.3,5.5,1
47,3.7,1
47.8,4.6,1
54.7,2.8,1
52.2,4.1,1
47.9,5.9,1
55.1,4.7,1
51.5,3.3,1
48.7,4.7,1
49.4,2.7,1
52.7,4.2,1
54.3,3.6,1
53.4,6,1
54.5,3.9,1
50.7,4.1,1
49.7,5.4,3
51.7,5,3
51,5.2,3
51.9,3.9,3
55.3,5,3
51,5.3,3
52.1,4.3,3
52.9,4.8,3
47.2,5.8,3
48.3,7.3,3
49.2,5.8,3
50.2,4.7,3
52.1,5.8,3
52.4,7.2,3
50.7,5.5,3
51.3,4.3,3
47.6,4.7,3
47.1,4.5,3
53,4.6,3
52.7,4.7,3
53.9,4.2,3
48.7,4.4,3
48.8,6,3
53.7,6.6,3
52.7,4.5,3
53.8,4.2,3
52.3,4.6,3
50.9,3.5,3
51.5,6.6,3
48.5,7.1,3
51.2,6.4,3
52.5,4.2,3
53.6,5.8,3
51.8,5.9,3
49,6,3
53.2,4.6,3
55.7,5.9,3
52.8,5.1,3
51,4.4,3
53.9,4.5,3
51.2,7.1,3
55.1,5.9,3
52.1,4.9,3
49.9,5.4,3
51.5,5.9,3
52.8,5.1,3
51.5,5.9,3
52.5,4.2,3
53.8,4.2,3
51,5.2,3
51.3,4.3,3
51.2,7.1,3
47.1,4.5,3
49.9,5.4,3
47.2,5.8,3
53.9,4.2,3
55.7,5.9,3
52.9,4.8,3
52.1,5.8,3
48.5,7.1,3
50.2,4.7,3
55.1,5.9,3
52.1,4.3,3
48.7,4.4,3
49,6,3
55.3,5,3
49.7,5.4,3
49.2,5.8,3
52.7,4.7,3
51.2,6.4,3
53.6,5.8,3
52.3,4.6,3
48.3,7.3,3
47.6,4.7,3
52.1,4.9,3
51,5.3,3
51.9,3.9,3
50.7,5.5,3
54.4,4.5,2
53.2,5.5,2
52.8,5.5,2
51.3,5.3,2
54.5,6.8,2
54.4,4.7,2
54,4.2,2
55.9,5.8,2
51.8,6.8,2
55.3,3.5,2
55.9,4.1,2
55.1,5.8,2
53.4,5.9,2
54.2,6.7,2
52.3,8.8,2
54.1,6.3,2
54.6,7.6,2
55.4,4.1,2
50.3,8.4,2
53.2,4.6,2
56.5,4.6,2
54,4.9,2
51.9,5.5,2
54.2,6.6,2
54.5,4.2,2
50.7,4.8,2
51.4,6.8,2
54.4,5.2,2
52,3.9,2
54.3,5.3,2
54.9,4.5,2
52.1,6.3,2
54.7,3.8,2
54.1,6.7,2
52.4,6.8,2
52.7,7.8,2
56.6,8.3,2
56.2,5,2
54.9,4.4,2
53.2,5.7,2
51.9,6.1,2
51.1,5,2
52.7,7.7,2
50.6,4.3,2
56,6.1,2
51.6,5.7,2
55.8,6.5,2
54.4,6,2
54.1,5.4,2
53.4,6.5,2
52.7,7.5,2
54.7,3.8,2
54.9,4.5,2
54.3,5.3,2
51.9,6.1,2
50.6,4.3,2
53.2,5.7,2
52.1,6.3,2
54.9,4.4,2
54.1,6.7,2
52.3,8.8,2
56.5,4.6,2
55.4,4.1,2
56.6,8.3,2
54.5,6.8,2
52.7,7.7,2
55.9,5.8,2
54.1,6.3,2
53.2,4.6,2
55.8,6.5,2
52.4,6.8,2
53.2,5.5,2
52.8,5.5,2
51.3,5.3,2
51.1,5,2
53.4,5.9,2
52.7,7.8,2
55.9,4.1,2
50.7,4.8,2
54.2,6.7,2
51.6,5.7,2
54.1,5.4,2
54.2,6.6,2
56,6.1,2
54.5,4.2,2
50.3,8.4,2
51.8,6.8,2
54.4,4.5,2
54,4.9,2
54.4,6,2
53.4,6.5,2
52,3.9,2
54.4,4.7,2
