@relation R_data_frame

@attribute L numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
54.7,25.75,5.77,0.109,1
50.8,22.08,5.58,0.222,1
49.4,22.05,5.73,0.232,1
47.5,21.65,5.54,0.249,1
53.7,27.43,5.42,0.284,1
49,25.14,5.6,0.287,1
51.8,25.85,5.48,0.288,1
53.1,27.5,5.55,0.314,1
47,26.29,5.67,0.324,1
47.8,20.85,5.64,0.332,1
50.4,24.64,5.55,0.334,1
52.9,23.32,5.66,0.337,1
48,20.61,5.41,0.338,1
51.5,25.14,5.48,0.35,1
52.6,24.9,5.57,0.373,1
51.2,25.23,5.44,0.384,1
53.4,24.38,5.56,0.386,1
51.8,29.31,5.58,0.411,1
53,24.99,5.62,0.42,1
52.2,21.75,5.45,0.422,1
54.1,24.04,5.64,0.43,1
54.3,29.08,5.54,0.439,1
48.3,24.45,5.6,0.441,1
55.1,23.36,5.62,0.444,1
47.9,22.66,5.68,0.456,1
50.3,27.17,5.52,0.465,1
50.9,22.93,5.58,0.468,1
52.7,26.57,5.4,0.469,1
48.7,21.1,5.61,0.482,1
51.4,26.23,5.48,0.499,1
52.6,26.46,5.54,0.505,1
50.2,26.69,5.66,0.53,1
50.9,21.41,5.63,0.548,1
53.9,21.53,5.64,0.549,1
50.7,27.69,5.75,0.568,1
54.5,27.02,5.57,0.579,1
50.1,25.3,5.48,0.589,1
52.2,29.47,5.5,0.621,1
54.3,28.87,5.59,0.646,1
53.4,25.93,5.55,0.663,1
53.2,26.37,5.64,0.677,1
54.1,23.08,5.68,0.691,1
52.5,25.56,5.35,0.704,1
51.6,24.24,5.66,0.721,1
50.8,20.64,5.41,1.136,1
53.2,26.37,5.64,0.677,1
50.2,26.69,5.66,0.53,1
54.1,24.04,5.64,0.43,1
51.6,24.24,5.66,0.721,1
50.9,21.41,5.63,0.548,1
49,25.14,5.6,0.287,1
48,20.61,5.41,0.338,1
51.4,26.23,5.48,0.499,1
53.7,27.43,5.42,0.284,1
53,24.99,5.62,0.42,1
53.9,21.53,5.64,0.549,1
48.3,24.45,5.6,0.441,1
52.9,23.32,5.66,0.337,1
50.4,24.64,5.55,0.334,1
53.4,25.93,5.55,0.663,1
54.1,23.08,5.68,0.691,1
50.3,27.17,5.52,0.465,1
51.8,29.31,5.58,0.411,1
52.6,26.46,5.54,0.505,1
54.3,29.08,5.54,0.439,1
47,26.29,5.67,0.324,1
47.8,20.85,5.64,0.332,1
54.7,25.75,5.77,0.109,1
52.2,29.47,5.5,0.621,1
47.9,22.66,5.68,0.456,1
55.1,23.36,5.62,0.444,1
51.5,25.14,5.48,0.35,1
48.7,21.1,5.61,0.482,1
49.4,22.05,5.73,0.232,1
52.7,26.57,5.4,0.469,1
54.3,28.87,5.59,0.646,1
53.4,24.38,5.56,0.386,1
54.5,27.02,5.57,0.579,1
50.7,27.69,5.75,0.568,1
49.7,28.14,5.95,0.276,3
51.7,27.21,5.82,0.284,3
51,29.48,5.88,0.306,3
51.9,29.55,5.78,0.308,3
55.3,25.23,5.75,0.316,3
51,27.82,5.89,0.321,3
52.1,28.01,5.75,0.328,3
52.9,26.45,5.82,0.331,3
47.2,27.14,5.86,0.331,3
48.3,31.07,5.88,0.331,3
49.2,25.2,5.72,0.336,3
50.2,29.83,5.88,0.336,3
52.1,27.63,5.79,0.359,3
52.4,27.79,5.75,0.361,3
50.7,27.08,5.71,0.38,3
51.3,30.85,5.75,0.381,3
47.6,30.26,5.9,0.384,3
47.1,24.29,5.85,0.385,3
53,29.69,5.77,0.398,3
52.7,27.91,5.82,0.4,3
53.9,28.72,5.63,0.407,3
48.7,22.57,5.86,0.415,3
48.8,26.79,5.77,0.416,3
53.7,26.03,5.8,0.416,3
52.7,23.86,5.79,0.419,3
53.8,27.14,5.74,0.427,3
52.3,25.89,5.79,0.431,3
50.9,26.59,5.84,0.439,3
51.5,26.86,5.82,0.44,3
48.5,27.84,5.84,0.445,3
51.2,29.43,5.71,0.478,3
52.5,29.8,5.87,0.486,3
53.6,22.54,5.73,0.495,3
51.8,29.11,5.66,0.496,3
49,24.55,5.9,0.516,3
53.2,25.11,5.86,0.525,3
55.7,24.91,5.69,0.534,3
52.8,27.21,5.84,0.536,3
51,29.56,5.6,0.546,3
53.9,27.67,5.69,0.584,3
51.2,26.28,5.79,0.592,3
55.1,25.79,5.75,0.623,3
52.1,28.89,5.73,0.628,3
49.9,28.57,5.77,0.645,3
51.5,26.47,5.61,0.691,3
52.8,27.21,5.84,0.536,3
51.5,26.47,5.61,0.691,3
52.5,29.8,5.87,0.486,3
53.8,27.14,5.74,0.427,3
51,29.48,5.88,0.306,3
51.3,30.85,5.75,0.381,3
51.2,26.28,5.79,0.592,3
47.1,24.29,5.85,0.385,3
49.9,28.57,5.77,0.645,3
47.2,27.14,5.86,0.331,3
53.9,28.72,5.63,0.407,3
55.7,24.91,5.69,0.534,3
52.9,26.45,5.82,0.331,3
52.1,27.63,5.79,0.359,3
48.5,27.84,5.84,0.445,3
50.2,29.83,5.88,0.336,3
55.1,25.79,5.75,0.623,3
52.1,28.01,5.75,0.328,3
48.7,22.57,5.86,0.415,3
49,24.55,5.9,0.516,3
55.3,25.23,5.75,0.316,3
49.7,28.14,5.95,0.276,3
49.2,25.2,5.72,0.336,3
52.7,27.91,5.82,0.4,3
51.2,29.43,5.71,0.478,3
53.6,22.54,5.73,0.495,3
52.3,25.89,5.79,0.431,3
48.3,31.07,5.88,0.331,3
47.6,30.26,5.9,0.384,3
52.1,28.89,5.73,0.628,3
51,27.82,5.89,0.321,3
51.9,29.55,5.78,0.308,3
50.7,27.08,5.71,0.38,3
54.4,33.47,5.8,0.277,2
53.2,33.31,5.54,0.32,2
52.8,33.04,5.75,0.32,2
51.3,29.02,5.74,0.333,2
54.5,29.99,5.7,0.338,2
54.4,22.94,5.63,0.342,2
54,22.78,5.8,0.367,2
55.9,28.49,5.72,0.373,2
51.8,24.73,5.96,0.38,2
55.3,24.95,5.98,0.381,2
55.9,31.6,5.75,0.387,2
55.1,25.41,5.76,0.388,2
53.4,23.58,5.7,0.393,2
54.2,22.69,5.88,0.396,2
52.3,27.86,5.7,0.398,2
54.1,27.24,5.7,0.402,2
54.6,31.26,5.7,0.404,2
55.4,26.48,5.98,0.407,2
50.3,30.4,5.8,0.408,2
53.2,21.07,6.02,0.411,2
56.5,20.79,5.58,0.412,2
54,28.22,6.01,0.418,2
51.9,27.17,5.77,0.419,2
54.2,28.43,5.71,0.422,2
54.5,26.36,5.68,0.423,2
50.7,28.22,5.86,0.427,2
51.4,29.43,5.83,0.428,2
54.4,29.28,5.7,0.436,2
52,27.53,5.9,0.44,2
54.3,25.9,5.84,0.443,2
54.9,29.42,5.82,0.447,2
52.1,24.7,5.9,0.45,2
54.7,28,5.89,0.462,2
54.1,24.42,5.77,0.464,2
52.4,34.52,5.53,0.474,2
52.7,24.92,5.63,0.478,2
56.6,30.37,5.61,0.494,2
56.2,31.57,5.67,0.498,2
54.9,28.75,5.69,0.499,2
53.2,26.45,5.8,0.5,2
51.9,21.93,5.83,0.501,2
51.1,32.73,5.7,0.512,2
52.7,24.9,5.84,0.519,2
50.6,20.02,5.87,0.527,2
56,32.41,5.68,0.528,2
51.6,29.42,5.82,0.541,2
55.8,30.1,5.62,0.549,2
54.4,30.14,5.81,0.618,2
54.1,32.84,5.59,0.667,2
53.4,30.39,5.88,0.707,2
52.7,26.11,5.8,0.744,2
54.7,28,5.89,0.462,2
54.9,29.42,5.82,0.447,2
54.3,25.9,5.84,0.443,2
51.9,21.93,5.83,0.501,2
50.6,20.02,5.87,0.527,2
53.2,26.45,5.8,0.5,2
52.1,24.7,5.9,0.45,2
54.9,28.75,5.69,0.499,2
54.1,24.42,5.77,0.464,2
52.3,27.86,5.7,0.398,2
56.5,20.79,5.58,0.412,2
55.4,26.48,5.98,0.407,2
56.6,30.37,5.61,0.494,2
54.5,29.99,5.7,0.338,2
52.7,24.9,5.84,0.519,2
55.9,28.49,5.72,0.373,2
54.1,27.24,5.7,0.402,2
53.2,21.07,6.02,0.411,2
55.8,30.1,5.62,0.549,2
52.4,34.52,5.53,0.474,2
53.2,33.31,5.54,0.32,2
52.8,33.04,5.75,0.32,2
51.3,29.02,5.74,0.333,2
51.1,32.73,5.7,0.512,2
53.4,23.58,5.7,0.393,2
52.7,24.92,5.63,0.478,2
55.9,31.6,5.75,0.387,2
50.7,28.22,5.86,0.427,2
54.2,22.69,5.88,0.396,2
51.6,29.42,5.82,0.541,2
54.1,32.84,5.59,0.667,2
54.2,28.43,5.71,0.422,2
56,32.41,5.68,0.528,2
54.5,26.36,5.68,0.423,2
50.3,30.4,5.8,0.408,2
51.8,24.73,5.96,0.38,2
54.4,33.47,5.8,0.277,2
54,28.22,6.01,0.418,2
54.4,30.14,5.81,0.618,2
53.4,30.39,5.88,0.707,2
52,27.53,5.9,0.44,2
54.4,22.94,5.63,0.342,2
