@relation R_data_frame

@attribute a numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
2.8,5.77,0.109,1
4.2,5.58,0.222,1
2.7,5.73,0.232,1
6.7,5.54,0.249,1
5.1,5.42,0.284,1
5.6,5.6,0.287,1
5.1,5.48,0.288,1
5,5.55,0.314,1
3.7,5.67,0.324,1
4.6,5.64,0.332,1
4.7,5.55,0.334,1
6.4,5.66,0.337,1
4.4,5.41,0.338,1
3.3,5.48,0.35,1
5.6,5.57,0.373,1
5.4,5.44,0.384,1
6,5.56,0.386,1
3.4,5.58,0.411,1
3.8,5.62,0.42,1
4.7,5.45,0.422,1
5.6,5.64,0.43,1
5.5,5.54,0.439,1
6.1,5.6,0.441,1
4.7,5.62,0.444,1
5.9,5.68,0.456,1
3.2,5.52,0.465,1
3.3,5.58,0.468,1
4.2,5.4,0.469,1
4.7,5.61,0.482,1
3.1,5.48,0.499,1
4.8,5.54,0.505,1
4.6,5.66,0.53,1
5.6,5.63,0.548,1
4.9,5.64,0.549,1
4.1,5.75,0.568,1
3.9,5.57,0.579,1
5.9,5.48,0.589,1
4.1,5.5,0.621,1
3.6,5.59,0.646,1
5.4,5.55,0.663,1
5.1,5.64,0.677,1
4,5.68,0.691,1
5.4,5.35,0.704,1
3.7,5.66,0.721,1
5.6,5.41,1.136,1
5.1,5.64,0.677,1
4.6,5.66,0.53,1
5.6,5.64,0.43,1
3.7,5.66,0.721,1
5.6,5.63,0.548,1
5.6,5.6,0.287,1
4.4,5.41,0.338,1
3.1,5.48,0.499,1
5.1,5.42,0.284,1
3.8,5.62,0.42,1
4.9,5.64,0.549,1
6.1,5.6,0.441,1
6.4,5.66,0.337,1
4.7,5.55,0.334,1
5.4,5.55,0.663,1
4,5.68,0.691,1
3.2,5.52,0.465,1
3.4,5.58,0.411,1
4.8,5.54,0.505,1
5.5,5.54,0.439,1
3.7,5.67,0.324,1
4.6,5.64,0.332,1
2.8,5.77,0.109,1
4.1,5.5,0.621,1
5.9,5.68,0.456,1
4.7,5.62,0.444,1
3.3,5.48,0.35,1
4.7,5.61,0.482,1
2.7,5.73,0.232,1
4.2,5.4,0.469,1
3.6,5.59,0.646,1
6,5.56,0.386,1
3.9,5.57,0.579,1
4.1,5.75,0.568,1
5.4,5.95,0.276,3
5,5.82,0.284,3
5.2,5.88,0.306,3
3.9,5.78,0.308,3
5,5.75,0.316,3
5.3,5.89,0.321,3
4.3,5.75,0.328,3
4.8,5.82,0.331,3
5.8,5.86,0.331,3
7.3,5.88,0.331,3
5.8,5.72,0.336,3
4.7,5.88,0.336,3
5.8,5.79,0.359,3
7.2,5.75,0.361,3
5.5,5.71,0.38,3
4.3,5.75,0.381,3
4.7,5.9,0.384,3
4.5,5.85,0.385,3
4.6,5.77,0.398,3
4.7,5.82,0.4,3
4.2,5.63,0.407,3
4.4,5.86,0.415,3
6,5.77,0.416,3
6.6,5.8,0.416,3
4.5,5.79,0.419,3
4.2,5.74,0.427,3
4.6,5.79,0.431,3
3.5,5.84,0.439,3
6.6,5.82,0.44,3
7.1,5.84,0.445,3
6.4,5.71,0.478,3
4.2,5.87,0.486,3
5.8,5.73,0.495,3
5.9,5.66,0.496,3
6,5.9,0.516,3
4.6,5.86,0.525,3
5.9,5.69,0.534,3
5.1,5.84,0.536,3
4.4,5.6,0.546,3
4.5,5.69,0.584,3
7.1,5.79,0.592,3
5.9,5.75,0.623,3
4.9,5.73,0.628,3
5.4,5.77,0.645,3
5.9,5.61,0.691,3
5.1,5.84,0.536,3
5.9,5.61,0.691,3
4.2,5.87,0.486,3
4.2,5.74,0.427,3
5.2,5.88,0.306,3
4.3,5.75,0.381,3
7.1,5.79,0.592,3
4.5,5.85,0.385,3
5.4,5.77,0.645,3
5.8,5.86,0.331,3
4.2,5.63,0.407,3
5.9,5.69,0.534,3
4.8,5.82,0.331,3
5.8,5.79,0.359,3
7.1,5.84,0.445,3
4.7,5.88,0.336,3
5.9,5.75,0.623,3
4.3,5.75,0.328,3
4.4,5.86,0.415,3
6,5.9,0.516,3
5,5.75,0.316,3
5.4,5.95,0.276,3
5.8,5.72,0.336,3
4.7,5.82,0.4,3
6.4,5.71,0.478,3
5.8,5.73,0.495,3
4.6,5.79,0.431,3
7.3,5.88,0.331,3
4.7,5.9,0.384,3
4.9,5.73,0.628,3
5.3,5.89,0.321,3
3.9,5.78,0.308,3
5.5,5.71,0.38,3
4.5,5.8,0.277,2
5.5,5.54,0.32,2
5.5,5.75,0.32,2
5.3,5.74,0.333,2
6.8,5.7,0.338,2
4.7,5.63,0.342,2
4.2,5.8,0.367,2
5.8,5.72,0.373,2
6.8,5.96,0.38,2
3.5,5.98,0.381,2
4.1,5.75,0.387,2
5.8,5.76,0.388,2
5.9,5.7,0.393,2
6.7,5.88,0.396,2
8.8,5.7,0.398,2
6.3,5.7,0.402,2
7.6,5.7,0.404,2
4.1,5.98,0.407,2
8.4,5.8,0.408,2
4.6,6.02,0.411,2
4.6,5.58,0.412,2
4.9,6.01,0.418,2
