@relation R_data_frame

@attribute L numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {1,2,3}

@data
54.7,25.75,5.77,1
50.8,22.08,5.58,1
49.4,22.05,5.73,1
47.5,21.65,5.54,1
53.7,27.43,5.42,1
49,25.14,5.6,1
51.8,25.85,5.48,1
53.1,27.5,5.55,1
47,26.29,5.67,1
47.8,20.85,5.64,1
50.4,24.64,5.55,1
52.9,23.32,5.66,1
48,20.61,5.41,1
51.5,25.14,5.48,1
52.6,24.9,5.57,1
51.2,25.23,5.44,1
53.4,24.38,5.56,1
51.8,29.31,5.58,1
53,24.99,5.62,1
52.2,21.75,5.45,1
54.1,24.04,5.64,1
54.3,29.08,5.54,1
48.3,24.45,5.6,1
55.1,23.36,5.62,1
47.9,22.66,5.68,1
50.3,27.17,5.52,1
50.9,22.93,5.58,1
52.7,26.57,5.4,1
48.7,21.1,5.61,1
51.4,26.23,5.48,1
52.6,26.46,5.54,1
50.2,26.69,5.66,1
50.9,21.41,5.63,1
53.9,21.53,5.64,1
50.7,27.69,5.75,1
54.5,27.02,5.57,1
50.1,25.3,5.48,1
52.2,29.47,5.5,1
54.3,28.87,5.59,1
53.4,25.93,5.55,1
53.2,26.37,5.64,1
54.1,23.08,5.68,1
52.5,25.56,5.35,1
51.6,24.24,5.66,1
50.8,20.64,5.41,1
53.2,26.37,5.64,1
50.2,26.69,5.66,1
54.1,24.04,5.64,1
51.6,24.24,5.66,1
50.9,21.41,5.63,1
49,25.14,5.6,1
48,20.61,5.41,1
51.4,26.23,5.48,1
53.7,27.43,5.42,1
53,24.99,5.62,1
53.9,21.53,5.64,1
48.3,24.45,5.6,1
52.9,23.32,5.66,1
50.4,24.64,5.55,1
53.4,25.93,5.55,1
54.1,23.08,5.68,1
50.3,27.17,5.52,1
51.8,29.31,5.58,1
52.6,26.46,5.54,1
54.3,29.08,5.54,1
47,26.29,5.67,1
47.8,20.85,5.64,1
54.7,25.75,5.77,1
52.2,29.47,5.5,1
47.9,22.66,5.68,1
55.1,23.36,5.62,1
51.5,25.14,5.48,1
48.7,21.1,5.61,1
49.4,22.05,5.73,1
52.7,26.57,5.4,1
54.3,28.87,5.59,1
53.4,24.38,5.56,1
54.5,27.02,5.57,1
50.7,27.69,5.75,1
49.7,28.14,5.95,3
51.7,27.21,5.82,3
51,29.48,5.88,3
51.9,29.55,5.78,3
55.3,25.23,5.75,3
51,27.82,5.89,3
52.1,28.01,5.75,3
52.9,26.45,5.82,3
47.2,27.14,5.86,3
48.3,31.07,5.88,3
49.2,25.2,5.72,3
50.2,29.83,5.88,3
52.1,27.63,5.79,3
52.4,27.79,5.75,3
50.7,27.08,5.71,3
51.3,30.85,5.75,3
47.6,30.26,5.9,3
47.1,24.29,5.85,3
53,29.69,5.77,3
52.7,27.91,5.82,3
53.9,28.72,5.63,3
48.7,22.57,5.86,3
48.8,26.79,5.77,3
53.7,26.03,5.8,3
52.7,23.86,5.79,3
53.8,27.14,5.74,3
52.3,25.89,5.79,3
50.9,26.59,5.84,3
51.5,26.86,5.82,3
48.5,27.84,5.84,3
51.2,29.43,5.71,3
52.5,29.8,5.87,3
53.6,22.54,5.73,3
51.8,29.11,5.66,3
49,24.55,5.9,3
53.2,25.11,5.86,3
55.7,24.91,5.69,3
52.8,27.21,5.84,3
51,29.56,5.6,3
53.9,27.67,5.69,3
51.2,26.28,5.79,3
55.1,25.79,5.75,3
52.1,28.89,5.73,3
49.9,28.57,5.77,3
51.5,26.47,5.61,3
52.8,27.21,5.84,3
51.5,26.47,5.61,3
52.5,29.8,5.87,3
53.8,27.14,5.74,3
51,29.48,5.88,3
51.3,30.85,5.75,3
51.2,26.28,5.79,3
47.1,24.29,5.85,3
49.9,28.57,5.77,3
47.2,27.14,5.86,3
53.9,28.72,5.63,3
55.7,24.91,5.69,3
52.9,26.45,5.82,3
52.1,27.63,5.79,3
48.5,27.84,5.84,3
50.2,29.83,5.88,3
55.1,25.79,5.75,3
52.1,28.01,5.75,3
48.7,22.57,5.86,3
49,24.55,5.9,3
55.3,25.23,5.75,3
49.7,28.14,5.95,3
49.2,25.2,5.72,3
52.7,27.91,5.82,3
51.2,29.43,5.71,3
53.6,22.54,5.73,3
52.3,25.89,5.79,3
48.3,31.07,5.88,3
47.6,30.26,5.9,3
52.1,28.89,5.73,3
51,27.82,5.89,3
51.9,29.55,5.78,3
50.7,27.08,5.71,3
54.4,33.47,5.8,2
53.2,33.31,5.54,2
52.8,33.04,5.75,2
51.3,29.02,5.74,2
54.5,29.99,5.7,2
54.4,22.94,5.63,2
54,22.78,5.8,2
55.9,28.49,5.72,2
51.8,24.73,5.96,2
55.3,24.95,5.98,2
55.9,31.6,5.75,2
55.1,25.41,5.76,2
53.4,23.58,5.7,2
54.2,22.69,5.88,2
52.3,27.86,5.7,2
54.1,27.24,5.7,2
54.6,31.26,5.7,2
55.4,26.48,5.98,2
50.3,30.4,5.8,2
53.2,21.07,6.02,2
56.5,20.79,5.58,2
54,28.22,6.01,2
51.9,27.17,5.77,2
54.2,28.43,5.71,2
54.5,26.36,5.68,2
50.7,28.22,5.86,2
51.4,29.43,5.83,2
54.4,29.28,5.7,2
52,27.53,5.9,2
54.3,25.9,5.84,2
54.9,29.42,5.82,2
52.1,24.7,5.9,2
54.7,28,5.89,2
54.1,24.42,5.77,2
52.4,34.52,5.53,2
52.7,24.92,5.63,2
56.6,30.37,5.61,2
56.2,31.57,5.67,2
54.9,28.75,5.69,2
53.2,26.45,5.8,2
51.9,21.93,5.83,2
51.1,32.73,5.7,2
52.7,24.9,5.84,2
50.6,20.02,5.87,2
56,32.41,5.68,2
51.6,29.42,5.82,2
55.8,30.1,5.62,2
54.4,30.14,5.81,2
54.1,32.84,5.59,2
53.4,30.39,5.88,2
52.7,26.11,5.8,2
54.7,28,5.89,2
54.9,29.42,5.82,2
54.3,25.9,5.84,2
51.9,21.93,5.83,2
50.6,20.02,5.87,2
53.2,26.45,5.8,2
52.1,24.7,5.9,2
54.9,28.75,5.69,2
54.1,24.42,5.77,2
52.3,27.86,5.7,2
56.5,20.79,5.58,2
55.4,26.48,5.98,2
56.6,30.37,5.61,2
54.5,29.99,5.7,2
52.7,24.9,5.84,2
55.9,28.49,5.72,2
54.1,27.24,5.7,2
53.2,21.07,6.02,2
55.8,30.1,5.62,2
52.4,34.52,5.53,2
53.2,33.31,5.54,2
52.8,33.04,5.75,2
51.3,29.02,5.74,2
